      Step     Time          Energy          fmax
BFGS:    0 10:15:57    -3034.648951       25.744507
BFGS:    1 10:15:58    -3039.344566        2.420450
BFGS:    2 10:15:59    -3039.495096        1.971864
BFGS:    3 10:16:00    -3039.847976        0.848589
BFGS:    4 10:16:00    -3039.903967        0.473779
BFGS:    5 10:16:01    -3039.939145        0.238523
BFGS:    6 10:16:02    -3039.957020        0.344022
BFGS:    7 10:16:03    -3039.963398        0.186368
BFGS:    8 10:16:04    -3039.965945        0.212530
BFGS:    9 10:16:05    -3039.968077        0.327728
BFGS:   10 10:16:05    -3039.977017        0.868699
BFGS:   11 10:16:06    -3039.926945        2.984369
BFGS:   12 10:16:07    -3040.005453        1.921289
BFGS:   13 10:16:08    -3040.072627        2.097831
BFGS:   14 10:16:09    -3040.510812        3.171051
BFGS:   15 10:16:10    -3041.659207        4.438735
BFGS:   16 10:16:11    -3043.138922        4.906668
BFGS:   17 10:16:11    -3044.757288        4.916018
BFGS:   18 10:16:12    -3046.386469        4.926196
BFGS:   19 10:16:13    -3047.866516        4.648876
BFGS:   20 10:16:14    -3049.025269        3.579060
BFGS:   21 10:16:15    -3049.726033        2.186682
BFGS:   22 10:16:16    -3050.022925        0.981999
BFGS:   23 10:16:16    -3050.092481        0.874797
BFGS:   24 10:16:17    -3050.147977        0.874527
BFGS:   25 10:16:18    -3050.209784        0.670199
BFGS:   26 10:16:18    -3050.237748        0.362500
BFGS:   27 10:16:19    -3050.246064        0.226616
BFGS:   28 10:16:19    -3050.249204        0.245575
BFGS:   29 10:16:20    -3050.252756        0.212211
BFGS:   30 10:16:20    -3050.255978        0.125173
BFGS:   31 10:16:21    -3050.257032        0.088888
BFGS:   32 10:16:21    -3050.257267        0.088443
BFGS:   33 10:16:22    -3050.257429        0.086483
BFGS:   34 10:16:22    -3050.257783        0.075453
BFGS:   35 10:16:22    -3050.258218        0.050864
BFGS:   36 10:16:23    -3050.258522        0.027741
BFGS:   37 10:16:23    -3050.258602        0.022059
BFGS:   38 10:16:24    -3050.258618        0.019447
BFGS:   39 10:16:24    -3050.258629        0.017459
BFGS:   40 10:16:24    -3050.258655        0.012817
BFGS:   41 10:16:25    -3050.258690        0.010241
BFGS:   42 10:16:25    -3050.258718        0.006285
