      Step     Time          Energy          fmax
BFGS:    0 10:20:13    -2546.206501       11.341580
BFGS:    1 10:20:14    -2550.703412        5.413238
BFGS:    2 10:20:15    -2554.503775        4.126777
BFGS:    3 10:20:15    -2557.813088        8.871226
BFGS:    4 10:20:16    -2561.395132       16.146397
BFGS:    5 10:20:17    -2561.234162       36.530343
BFGS:    6 10:20:17    -2565.896805        5.443365
BFGS:    7 10:20:18    -2567.491997        4.494358
BFGS:    8 10:20:18    -2569.312854       10.076761
BFGS:    9 10:20:19    -2571.503139        2.545392
BFGS:   10 10:20:19    -2572.931243        2.093467
BFGS:   11 10:20:19    -2574.977271        2.991394
BFGS:   12 10:20:20    -2576.417366        2.646679
BFGS:   13 10:20:20    -2577.932591        2.653919
BFGS:   14 10:20:21    -2579.229273        2.345990
BFGS:   15 10:20:21    -2580.077101        2.103337
BFGS:   16 10:20:21    -2581.011454        2.240057
BFGS:   17 10:20:22    -2581.819400        1.798944
BFGS:   18 10:20:22    -2582.215564        1.361276
BFGS:   19 10:20:22    -2582.455475        1.414672
BFGS:   20 10:20:23    -2582.509468        0.993149
BFGS:   21 10:20:23    -2582.540729        0.273884
BFGS:   22 10:20:23    -2582.549048        0.204395
BFGS:   23 10:20:24    -2582.555765        0.259536
BFGS:   24 10:20:24    -2582.559589        0.176370
BFGS:   25 10:20:24    -2582.562303        0.104366
BFGS:   26 10:20:24    -2582.564285        0.100159
BFGS:   27 10:20:25    -2582.565951        0.153163
BFGS:   28 10:20:25    -2582.567499        0.129257
BFGS:   29 10:20:25    -2582.569088        0.065102
BFGS:   30 10:20:25    -2582.570624        0.068158
BFGS:   31 10:20:26    -2582.571982        0.122978
BFGS:   32 10:20:26    -2582.573193        0.129227
BFGS:   33 10:20:26    -2582.574374        0.083318
BFGS:   34 10:20:26    -2582.575574        0.062556
BFGS:   35 10:20:27    -2582.576776        0.090284
BFGS:   36 10:20:27    -2582.578027        0.105976
BFGS:   37 10:20:27    -2582.579387        0.106034
BFGS:   38 10:20:27    -2582.580708        0.102171
BFGS:   39 10:20:28    -2582.581732        0.067414
BFGS:   40 10:20:28    -2582.582430        0.079148
BFGS:   41 10:20:28    -2582.582994        0.052397
BFGS:   42 10:20:28    -2582.583538        0.058078
BFGS:   43 10:20:29    -2582.583988        0.043701
BFGS:   44 10:20:29    -2582.584253        0.052916
BFGS:   45 10:20:29    -2582.584377        0.032553
BFGS:   46 10:20:29    -2582.584439        0.019427
BFGS:   47 10:20:29    -2582.584477        0.012877
BFGS:   48 10:20:30    -2582.584503        0.015066
BFGS:   49 10:20:30    -2582.584521        0.010833
BFGS:   50 10:20:30    -2582.584533        0.007085
