      Step     Time          Energy          fmax
BFGS:    0 10:20:14    -2549.652141       11.493547
BFGS:    1 10:20:15    -2556.279527        5.168122
BFGS:    2 10:20:16    -2560.016283        3.332084
BFGS:    3 10:20:16    -2562.668550        6.871019
BFGS:    4 10:20:17    -2564.907769        4.106498
BFGS:    5 10:20:18    -2568.080915        3.850060
BFGS:    6 10:20:18    -2570.317611        3.991152
BFGS:    7 10:20:19    -2571.829989        4.444005
BFGS:    8 10:20:19    -2573.901643        2.865805
BFGS:    9 10:20:20    -2574.842312        2.476984
BFGS:   10 10:20:20    -2576.799265        1.751062
BFGS:   11 10:20:21    -2577.831130        2.696590
BFGS:   12 10:20:21    -2579.249648        3.139260
BFGS:   13 10:20:22    -2580.187125        1.628697
BFGS:   14 10:20:22    -2580.804292        1.464341
BFGS:   15 10:20:23    -2581.607237        1.706452
BFGS:   16 10:20:23    -2582.118725        2.246113
BFGS:   17 10:20:23    -2582.527945        1.527243
BFGS:   18 10:20:24    -2582.756734        0.597738
BFGS:   19 10:20:24    -2582.805452        0.279227
BFGS:   20 10:20:24    -2582.816511        0.125917
BFGS:   21 10:20:25    -2582.819181        0.078641
BFGS:   22 10:20:25    -2582.821723        0.089000
BFGS:   23 10:20:25    -2582.823343        0.066783
BFGS:   24 10:20:25    -2582.824794        0.054382
BFGS:   25 10:20:26    -2582.825952        0.063513
BFGS:   26 10:20:26    -2582.827097        0.069026
BFGS:   27 10:20:26    -2582.828277        0.085079
BFGS:   28 10:20:26    -2582.829431        0.068449
BFGS:   29 10:20:27    -2582.830549        0.056170
BFGS:   30 10:20:27    -2582.831803        0.059716
BFGS:   31 10:20:27    -2582.833298        0.068284
BFGS:   32 10:20:28    -2582.834819        0.083851
BFGS:   33 10:20:28    -2582.835977        0.060597
BFGS:   34 10:20:28    -2582.836721        0.049598
BFGS:   35 10:20:28    -2582.837280        0.053314
BFGS:   36 10:20:29    -2582.837728        0.047693
BFGS:   37 10:20:29    -2582.837994        0.024960
BFGS:   38 10:20:29    -2582.838107        0.015725
BFGS:   39 10:20:29    -2582.838166        0.011715
BFGS:   40 10:20:29    -2582.838224        0.017566
BFGS:   41 10:20:30    -2582.838279        0.016451
BFGS:   42 10:20:30    -2582.838308        0.008090
