      Step     Time          Energy          fmax
BFGS:    0 10:20:13    -2903.761076        5.076234
BFGS:    1 10:20:14    -2907.391354        4.726552
BFGS:    2 10:20:15    -2912.516768        3.648800
BFGS:    3 10:20:17    -2912.135374       12.935432
BFGS:    4 10:20:17    -2916.615154        3.645643
BFGS:    5 10:20:18    -2920.809779        4.427652
BFGS:    6 10:20:19    -2924.148238        3.848436
BFGS:    7 10:20:19    -2924.690895        2.867045
BFGS:    8 10:20:20    -2925.409514        2.261813
BFGS:    9 10:20:20    -2926.134402        2.629767
BFGS:   10 10:20:20    -2926.724403        2.756650
BFGS:   11 10:20:21    -2928.176621        4.230459
BFGS:   12 10:20:21    -2928.620940        4.213489
BFGS:   13 10:20:22    -2929.609401        3.943454
BFGS:   14 10:20:22    -2930.061313        3.552214
BFGS:   15 10:20:23    -2931.387755        3.927740
BFGS:   16 10:20:23    -2932.215626        4.294065
BFGS:   17 10:20:23    -2933.231340        3.756331
BFGS:   18 10:20:24    -2933.716576        3.274612
BFGS:   19 10:20:24    -2933.789547        2.938071
BFGS:   20 10:20:25    -2934.112103        2.463425
BFGS:   21 10:20:25    -2934.264906        2.409576
BFGS:   22 10:20:25    -2934.437898        2.456882
BFGS:   23 10:20:26    -2934.664549        2.417573
BFGS:   24 10:20:26    -2934.812306        2.345824
BFGS:   25 10:20:26    -2935.009488        2.206776
BFGS:   26 10:20:27    -2935.167643        2.094601
BFGS:   27 10:20:27    -2935.320605        1.930511
BFGS:   28 10:20:27    -2935.493190        1.643475
BFGS:   29 10:20:28    -2935.717164        1.449695
BFGS:   30 10:20:28    -2935.923060        1.108443
BFGS:   31 10:20:28    -2936.033067        0.707712
BFGS:   32 10:20:29    -2936.073681        0.652178
BFGS:   33 10:20:29    -2936.099448        0.690313
BFGS:   34 10:20:29    -2936.130676        0.654164
BFGS:   35 10:20:30    -2936.157759        0.568069
BFGS:   36 10:20:30    -2936.177119        0.475218
BFGS:   37 10:20:30    -2936.191168        0.416763
BFGS:   38 10:20:30    -2936.204148        0.348485
BFGS:   39 10:20:31    -2936.217340        0.347425
BFGS:   40 10:20:31    -2936.229358        0.292830
BFGS:   41 10:20:31    -2936.238594        0.305412
BFGS:   42 10:20:31    -2936.245125        0.291826
BFGS:   43 10:20:32    -2936.250097        0.281176
BFGS:   44 10:20:32    -2936.254251        0.231764
BFGS:   45 10:20:32    -2936.257256        0.199939
BFGS:   46 10:20:32    -2936.258723        0.170331
BFGS:   47 10:20:33    -2936.259226        0.168306
BFGS:   48 10:20:33    -2936.259439        0.167008
BFGS:   49 10:20:33    -2936.259612        0.169166
BFGS:   50 10:20:33    -2936.259779        0.168582
