      Step     Time          Energy          fmax
BFGS:    0 10:20:14    -2991.381377        5.092213
BFGS:    1 10:20:15    -2995.251570        4.552497
BFGS:    2 10:20:16    -3000.623253        3.499422
BFGS:    3 10:20:17    -3002.010569       11.139290
BFGS:    4 10:20:18    -3007.019066        5.713883
BFGS:    5 10:20:19    -3012.913662        3.547690
BFGS:    6 10:20:19    -3012.355609       14.545299
BFGS:    7 10:20:20    -3015.066368        2.690283
BFGS:    8 10:20:21    -3015.915699        2.115311
BFGS:    9 10:20:21    -3016.926850        1.822182
BFGS:   10 10:20:22    -3018.483208        3.647672
BFGS:   11 10:20:23    -3019.358811        3.612100
BFGS:   12 10:20:24    -3020.590523        3.196285
BFGS:   13 10:20:24    -3021.010186        7.842493
BFGS:   14 10:20:25    -3022.121943        2.045221
BFGS:   15 10:20:26    -3022.540246        1.518845
BFGS:   16 10:20:26    -3023.013945        1.595929
BFGS:   17 10:20:27    -3023.187610        1.143385
BFGS:   18 10:20:27    -3023.511881        0.749025
BFGS:   19 10:20:28    -3023.638831        0.965216
BFGS:   20 10:20:29    -3023.843925        0.923034
BFGS:   21 10:20:29    -3023.978909        0.850326
BFGS:   22 10:20:30    -3024.095603        0.572521
BFGS:   23 10:20:30    -3024.178074        0.665181
BFGS:   24 10:20:31    -3024.256584        0.502551
BFGS:   25 10:20:32    -3024.305814        0.434125
BFGS:   26 10:20:32    -3024.341596        0.288584
BFGS:   27 10:20:33    -3024.368628        0.291935
BFGS:   28 10:20:33    -3024.393010        0.240642
BFGS:   29 10:20:33    -3024.415136        0.324046
BFGS:   30 10:20:34    -3024.436221        0.281586
BFGS:   31 10:20:34    -3024.456093        0.310832
BFGS:   32 10:20:35    -3024.473281        0.237514
BFGS:   33 10:20:35    -3024.488525        0.219840
BFGS:   34 10:20:36    -3024.506172        0.222672
BFGS:   35 10:20:36    -3024.530745        0.326058
BFGS:   36 10:20:37    -3024.561507        0.339994
BFGS:   37 10:20:38    -3024.590096        0.298512
BFGS:   38 10:20:38    -3024.607748        0.171515
BFGS:   39 10:20:39    -3024.616032        0.120527
BFGS:   40 10:20:39    -3024.620889        0.130557
BFGS:   41 10:20:40    -3024.624460        0.127898
BFGS:   42 10:20:40    -3024.626830        0.059969
BFGS:   43 10:20:40    -3024.628126        0.045260
BFGS:   44 10:20:41    -3024.628672        0.034484
BFGS:   45 10:20:41    -3024.628892        0.021972
BFGS:   46 10:20:41    -3024.629011        0.013575
BFGS:   47 10:20:42    -3024.629093        0.010890
BFGS:   48 10:20:42    -3024.629138        0.009425
