      Step     Time          Energy          fmax
BFGS:    0 10:20:14    -3094.644719        4.936850
BFGS:    1 10:20:15    -3098.700420        4.501989
BFGS:    2 10:20:16    -3104.578026        3.915532
BFGS:    3 10:20:17    -3106.019295       13.657737
BFGS:    4 10:20:17    -3112.719302        5.673302
BFGS:    5 10:20:18    -3117.438897       16.709281
BFGS:    6 10:20:19    -3119.960100       14.201944
BFGS:    7 10:20:20    -3120.281246        4.998551
BFGS:    8 10:20:21    -3121.953134        3.598380
BFGS:    9 10:20:22    -3122.932042        4.728878
BFGS:   10 10:20:22    -3123.811106        2.340640
BFGS:   11 10:20:23    -3124.907117        1.437251
BFGS:   12 10:20:24    -3125.484523        1.891435
BFGS:   13 10:20:24    -3126.127359        2.336041
BFGS:   14 10:20:25    -3126.822957        1.460833
BFGS:   15 10:20:26    -3127.163047        1.014581
BFGS:   16 10:20:26    -3127.492638        0.871104
BFGS:   17 10:20:27    -3127.704547        0.800537
BFGS:   18 10:20:28    -3127.989972        0.969520
BFGS:   19 10:20:28    -3128.234693        0.939404
BFGS:   20 10:20:29    -3128.405917        0.806202
BFGS:   21 10:20:29    -3128.517623        0.486214
BFGS:   22 10:20:30    -3128.606743        0.381505
BFGS:   23 10:20:31    -3128.684261        0.679931
BFGS:   24 10:20:31    -3128.762848        0.755231
BFGS:   25 10:20:32    -3128.842691        0.556215
BFGS:   26 10:20:32    -3128.908848        0.501296
BFGS:   27 10:20:33    -3128.954624        0.310714
BFGS:   28 10:20:33    -3128.984630        0.275038
BFGS:   29 10:20:34    -3129.006270        0.231685
BFGS:   30 10:20:34    -3129.028559        0.307601
BFGS:   31 10:20:34    -3129.054779        0.318673
BFGS:   32 10:20:35    -3129.090692        0.457098
BFGS:   33 10:20:35    -3129.134594        0.459254
BFGS:   34 10:20:36    -3129.174926        0.325079
BFGS:   35 10:20:36    -3129.204146        0.275648
BFGS:   36 10:20:37    -3129.226424        0.254080
BFGS:   37 10:20:37    -3129.247100        0.283944
BFGS:   38 10:20:37    -3129.265823        0.245759
BFGS:   39 10:20:38    -3129.277010        0.117749
BFGS:   40 10:20:38    -3129.281197        0.066481
BFGS:   41 10:20:38    -3129.282701        0.067186
BFGS:   42 10:20:39    -3129.283511        0.042158
BFGS:   43 10:20:39    -3129.284033        0.032094
BFGS:   44 10:20:40    -3129.284330        0.023363
BFGS:   45 10:20:40    -3129.284466        0.015573
BFGS:   46 10:20:40    -3129.284521        0.011817
BFGS:   47 10:20:40    -3129.284548        0.009451
