      Step     Time          Energy          fmax
BFGS:    0 10:20:14    -3119.360639        4.798176
BFGS:    1 10:20:15    -3123.198382        4.371062
BFGS:    2 10:20:16    -3128.677638        3.460347
BFGS:    3 10:20:17    -3130.576490       10.930471
BFGS:    4 10:20:18    -3135.918889        5.293531
BFGS:    5 10:20:19    -3144.451495        4.360034
BFGS:    6 10:20:19    -3138.294929       25.885473
BFGS:    7 10:20:20    -3146.800110        2.642628
BFGS:    8 10:20:21    -3147.740772        1.979408
BFGS:    9 10:20:21    -3149.221554        2.539789
BFGS:   10 10:20:21    -3149.800646        2.496611
BFGS:   11 10:20:22    -3150.769045        1.770192
BFGS:   12 10:20:22    -3151.178456        1.723433
BFGS:   13 10:20:23    -3152.125091        2.110211
BFGS:   14 10:20:23    -3152.448846        1.458565
BFGS:   15 10:20:24    -3152.806238        0.830529
BFGS:   16 10:20:24    -3152.965712        0.785145
BFGS:   17 10:20:25    -3153.190227        0.930989
BFGS:   18 10:20:25    -3153.330314        0.680044
BFGS:   19 10:20:26    -3153.448297        0.600359
BFGS:   20 10:20:27    -3153.546356        0.675762
BFGS:   21 10:20:27    -3153.627581        0.661563
BFGS:   22 10:20:28    -3153.682302        0.449532
BFGS:   23 10:20:28    -3153.730058        0.460078
BFGS:   24 10:20:29    -3153.773632        0.484915
BFGS:   25 10:20:29    -3153.812486        0.466952
BFGS:   26 10:20:30    -3153.841606        0.224667
BFGS:   27 10:20:30    -3153.863048        0.228638
BFGS:   28 10:20:31    -3153.880361        0.340085
BFGS:   29 10:20:31    -3153.895773        0.328047
BFGS:   30 10:20:32    -3153.912198        0.209381
BFGS:   31 10:20:32    -3153.932136        0.295304
BFGS:   32 10:20:33    -3153.957498        0.387253
BFGS:   33 10:20:33    -3153.986020        0.428017
BFGS:   34 10:20:34    -3154.012811        0.315454
BFGS:   35 10:20:34    -3154.036492        0.234556
BFGS:   36 10:20:35    -3154.058719        0.312322
BFGS:   37 10:20:35    -3154.077691        0.323019
BFGS:   38 10:20:36    -3154.090973        0.199566
BFGS:   39 10:20:36    -3154.098351        0.141725
BFGS:   40 10:20:37    -3154.102122        0.122022
BFGS:   41 10:20:37    -3154.104290        0.103429
BFGS:   42 10:20:37    -3154.105345        0.037875
BFGS:   43 10:20:38    -3154.105730        0.024191
BFGS:   44 10:20:38    -3154.105869        0.022275
BFGS:   45 10:20:38    -3154.105941        0.015527
BFGS:   46 10:20:39    -3154.105994        0.011821
BFGS:   47 10:20:39    -3154.106034        0.011857
BFGS:   48 10:20:39    -3154.106058        0.012429
BFGS:   49 10:20:40    -3154.106067        0.006772
