      Step     Time          Energy          fmax
BFGS:    0 10:20:13    -2020.521081        5.243103
BFGS:    1 10:20:14    -2022.950515        3.848697
BFGS:    2 10:20:14    -2027.404224        5.609302
BFGS:    3 10:20:14    -2032.828428        8.530368
BFGS:    4 10:20:15    -2035.732758        7.877210
BFGS:    5 10:20:15    -2036.259579        7.931723
BFGS:    6 10:20:15    -2037.191838        7.707877
BFGS:    7 10:20:15    -2037.056832       16.517772
BFGS:    8 10:20:16    -2038.728000        7.861491
BFGS:    9 10:20:16    -2039.370192        8.234884
BFGS:   10 10:20:16    -2040.199245        7.842380
BFGS:   11 10:20:16    -2040.902651        7.731188
BFGS:   12 10:20:17    -2041.702824        6.884429
BFGS:   13 10:20:17    -2042.357171        5.987926
BFGS:   14 10:20:17    -2043.153290        5.869726
BFGS:   15 10:20:17    -2044.019016        5.860606
BFGS:   16 10:20:17    -2044.593625        5.894970
BFGS:   17 10:20:18    -2045.814885        5.075202
BFGS:   18 10:20:18    -2046.813776        4.826774
BFGS:   19 10:20:18    -2047.524163        3.833725
BFGS:   20 10:20:19    -2048.526606        4.252340
BFGS:   21 10:20:19    -2049.588112        3.592182
BFGS:   22 10:20:19    -2050.237393        3.010421
BFGS:   23 10:20:19    -2050.929345        1.478051
BFGS:   24 10:20:20    -2051.213866        2.221234
BFGS:   25 10:20:20    -2051.370760        0.928769
BFGS:   26 10:20:20    -2051.428657        0.545777
BFGS:   27 10:20:20    -2051.471688        0.505907
BFGS:   28 10:20:20    -2051.530774        0.556553
BFGS:   29 10:20:21    -2051.561386        0.672140
BFGS:   30 10:20:21    -2051.594655        0.634889
BFGS:   31 10:20:21    -2051.635528        0.719670
BFGS:   32 10:20:21    -2051.690189        0.738919
BFGS:   33 10:20:21    -2051.745759        0.765906
BFGS:   34 10:20:22    -2051.790480        0.560295
BFGS:   35 10:20:22    -2051.820619        0.453943
BFGS:   36 10:20:22    -2051.841057        0.570376
BFGS:   37 10:20:22    -2051.859954        0.831093
BFGS:   38 10:20:22    -2051.876984        0.930784
BFGS:   39 10:20:22    -2051.894926        0.867597
BFGS:   40 10:20:23    -2051.913976        0.677206
BFGS:   41 10:20:23    -2051.933079        0.658694
BFGS:   42 10:20:23    -2051.953878        0.754869
BFGS:   43 10:20:23    -2052.008400        1.145554
BFGS:   44 10:20:24    -2052.106718        2.294046
BFGS:   45 10:20:24    -2052.223938        2.224976
BFGS:   46 10:20:24    -2052.306206        2.522699
BFGS:   47 10:20:24    -2052.335896        2.689879
BFGS:   48 10:20:25    -2052.378056        2.727687
BFGS:   49 10:20:25    -2052.449872        2.570875
BFGS:   50 10:20:25    -2052.518675        2.391100
