      Step     Time          Energy          fmax
BFGS:    0 10:20:13    -2106.144788       11.452253
BFGS:    1 10:20:13    -2111.009946        5.567619
BFGS:    2 10:20:14    -2115.612621        5.530449
BFGS:    3 10:20:14    -2120.979919       10.171686
BFGS:    4 10:20:14    -2123.431140       50.402697
BFGS:    5 10:20:15    -2128.281776       23.312733
BFGS:    6 10:20:15    -2129.690804       14.287989
BFGS:    7 10:20:15    -2134.126577        5.820146
BFGS:    8 10:20:15    -2135.529675        4.385541
BFGS:    9 10:20:16    -2136.823646        2.429415
BFGS:   10 10:20:16    -2137.543398        2.328971
BFGS:   11 10:20:16    -2137.943159        1.991636
BFGS:   12 10:20:16    -2138.193371        1.293056
BFGS:   13 10:20:17    -2138.390607        1.118210
BFGS:   14 10:20:17    -2138.647997        1.214323
BFGS:   15 10:20:17    -2138.829889        1.053544
BFGS:   16 10:20:17    -2139.106029        1.036232
BFGS:   17 10:20:17    -2139.328530        1.284653
BFGS:   18 10:20:18    -2139.564865        1.196048
BFGS:   19 10:20:18    -2139.717119        0.900844
BFGS:   20 10:20:18    -2139.795251        0.676667
BFGS:   21 10:20:18    -2139.858292        0.561712
BFGS:   22 10:20:18    -2139.926452        0.699488
BFGS:   23 10:20:19    -2139.977678        0.517530
BFGS:   24 10:20:19    -2140.006828        0.350649
BFGS:   25 10:20:19    -2140.025300        0.305931
BFGS:   26 10:20:19    -2140.036338        0.288413
BFGS:   27 10:20:19    -2140.042579        0.313588
BFGS:   28 10:20:19    -2140.047550        0.261155
BFGS:   29 10:20:19    -2140.054166        0.169973
BFGS:   30 10:20:20    -2140.063272        0.327067
BFGS:   31 10:20:20    -2140.074673        0.487856
BFGS:   32 10:20:20    -2140.087598        0.592320
BFGS:   33 10:20:20    -2140.102365        0.607384
BFGS:   34 10:20:20    -2140.120075        0.408128
BFGS:   35 10:20:21    -2140.137619        0.257525
BFGS:   36 10:20:21    -2140.148935        0.232994
BFGS:   37 10:20:21    -2140.155278        0.337426
BFGS:   38 10:20:21    -2140.159366        0.302434
BFGS:   39 10:20:21    -2140.162859        0.192765
BFGS:   40 10:20:21    -2140.166414        0.089552
BFGS:   41 10:20:21    -2140.168582        0.077829
BFGS:   42 10:20:22    -2140.170124        0.062675
BFGS:   43 10:20:22    -2140.171431        0.055021
BFGS:   44 10:20:22    -2140.172947        0.072063
BFGS:   45 10:20:22    -2140.174974        0.125412
BFGS:   46 10:20:22    -2140.177617        0.160631
BFGS:   47 10:20:22    -2140.180525        0.170166
BFGS:   48 10:20:23    -2140.183158        0.133489
BFGS:   49 10:20:23    -2140.185225        0.083842
BFGS:   50 10:20:23    -2140.186825        0.097117
