      Step     Time          Energy          fmax
BFGS:    0 10:20:33    -2107.101782       11.600735
BFGS:    1 10:20:33    -2112.095097        5.823912
BFGS:    2 10:20:34    -2116.234554        5.478332
BFGS:    3 10:20:34    -2120.591041       10.655806
BFGS:    4 10:20:35    -2124.030860       44.016161
BFGS:    5 10:20:35    -2124.562211       24.854721
BFGS:    6 10:20:35    -2132.054702        6.408380
BFGS:    7 10:20:36    -2133.497768        4.202123
BFGS:    8 10:20:36    -2134.756710        2.399571
BFGS:    9 10:20:37    -2135.772173        2.022749
BFGS:   10 10:20:37    -2136.172902        2.385922
BFGS:   11 10:20:37    -2136.511142        1.430780
BFGS:   12 10:20:38    -2136.795002        1.661458
BFGS:   13 10:20:38    -2137.557290        2.666504
BFGS:   14 10:20:39    -2138.115031        3.178412
BFGS:   15 10:20:39    -2138.457316        4.004100
BFGS:   16 10:20:39    -2139.104243        1.798719
BFGS:   17 10:20:40    -2139.539405        1.698904
BFGS:   18 10:20:40    -2139.745709        1.632597
BFGS:   19 10:20:40    -2139.896544        0.994258
BFGS:   20 10:20:41    -2140.000923        0.693290
BFGS:   21 10:20:41    -2140.089578        0.747329
BFGS:   22 10:20:41    -2140.209002        0.922390
BFGS:   23 10:20:42    -2140.323844        0.938762
BFGS:   24 10:20:42    -2140.608516        2.122341
BFGS:   25 10:20:43    -2140.875106        3.386671
BFGS:   26 10:20:43    -2141.234860        3.505689
BFGS:   27 10:20:43    -2142.156812        3.519724
BFGS:   28 10:20:44    -2142.935096        3.321665
BFGS:   29 10:20:44    -2144.083879        3.381457
BFGS:   30 10:20:44    -2145.068185        1.704002
BFGS:   31 10:20:45    -2145.373336        1.253936
BFGS:   32 10:20:45    -2145.746199        1.339448
BFGS:   33 10:20:45    -2146.019386        1.213869
BFGS:   34 10:20:46    -2146.142568        0.668900
BFGS:   35 10:20:46    -2146.211257        0.815383
BFGS:   36 10:20:46    -2146.279233        1.023078
BFGS:   37 10:20:47    -2146.349217        0.571543
BFGS:   38 10:20:47    -2146.406050        0.540322
BFGS:   39 10:20:47    -2146.451732        0.416461
BFGS:   40 10:20:47    -2146.494886        0.437907
BFGS:   41 10:20:48    -2146.529501        0.489053
BFGS:   42 10:20:48    -2146.555721        0.319263
BFGS:   43 10:20:48    -2146.574407        0.239262
BFGS:   44 10:20:48    -2146.589165        0.215330
BFGS:   45 10:20:49    -2146.601555        0.270901
BFGS:   46 10:20:49    -2146.612899        0.241050
BFGS:   47 10:20:49    -2146.624672        0.259814
BFGS:   48 10:20:49    -2146.635929        0.218325
BFGS:   49 10:20:50    -2146.648725        0.304085
BFGS:   50 10:20:50    -2146.665064        0.333519
