      Step     Time          Energy          fmax
BFGS:    0 12:16:05    -1896.256053        7.053964
BFGS:    1 12:16:05    -1897.709909       11.984386
BFGS:    2 12:16:06    -1899.714195        2.427640
BFGS:    3 12:16:06    -1901.032849        2.733064
BFGS:    4 12:16:07    -1902.329060        4.288790
BFGS:    5 12:16:08    -1903.495210        2.001770
BFGS:    6 12:16:08    -1904.332658        1.300066
BFGS:    7 12:16:09    -1905.422304        4.670971
BFGS:    8 12:16:10    -1906.207554        2.547324
BFGS:    9 12:16:10    -1907.943093        4.593956
BFGS:   10 12:16:11    -1908.892641        2.942482
