      Step     Time          Energy          fmax
BFGS:    0 10:01:17    -3580.173631        9.022306
BFGS:    1 10:01:18    -3581.944305        5.115294
BFGS:    2 10:01:19    -3583.163938        2.399673
BFGS:    3 10:01:20    -3583.633961        1.111157
BFGS:    4 10:01:21    -3583.749712        0.768777
BFGS:    5 10:01:21    -3583.777564        0.736006
BFGS:    6 10:01:22    -3583.814182        0.662786
BFGS:    7 10:01:23    -3583.855298        0.455803
BFGS:    8 10:01:24    -3583.875149        0.201854
BFGS:    9 10:01:25    -3583.879708        0.060032
BFGS:   10 10:01:25    -3583.880365        0.007718
      Step     Time          Energy          fmax
BFGS:    0 12:41:57    -3562.375030       10.736051
BFGS:    1 12:41:59    -3572.434270        8.544907
BFGS:    2 12:42:00    -3578.515597        5.054009
BFGS:    3 12:42:01    -3580.364285        2.265421
BFGS:    4 12:42:03    -3581.121820        2.060533
BFGS:    5 12:42:04    -3581.759844        1.786265
BFGS:    6 12:42:05    -3582.694477        1.128967
BFGS:    7 12:42:06    -3583.202758        1.301486
BFGS:    8 12:42:07    -3583.480839        0.743641
BFGS:    9 12:42:08    -3583.630346        0.685362
BFGS:   10 12:42:09    -3583.742933        0.438726
BFGS:   11 12:42:10    -3583.811230        0.356304
BFGS:   12 12:42:11    -3583.852502        0.255147
BFGS:   13 12:42:11    -3583.888243        0.314643
BFGS:   14 12:42:12    -3583.921251        0.292505
BFGS:   15 12:42:13    -3583.947156        0.246093
BFGS:   16 12:42:14    -3583.964509        0.224702
BFGS:   17 12:42:14    -3583.978821        0.176338
BFGS:   18 12:42:15    -3583.996148        0.219354
BFGS:   19 12:42:16    -3584.015807        0.315291
BFGS:   20 12:42:17    -3584.032253        0.254990
BFGS:   21 12:42:17    -3584.042502        0.169317
BFGS:   22 12:42:18    -3584.048650        0.117681
BFGS:   23 12:42:18    -3584.053276        0.170226
BFGS:   24 12:42:19    -3584.056938        0.147930
BFGS:   25 12:42:20    -3584.058784        0.065378
BFGS:   26 12:42:20    -3584.059782        0.043621
BFGS:   27 12:42:21    -3584.060363        0.036757
BFGS:   28 12:42:21    -3584.060733        0.030727
BFGS:   29 12:42:21    -3584.060975        0.020816
BFGS:   30 12:42:22    -3584.061161        0.025458
BFGS:   31 12:42:22    -3584.061283        0.021800
BFGS:   32 12:42:23    -3584.061352        0.015783
BFGS:   33 12:42:23    -3584.061403        0.012406
BFGS:   34 12:42:23    -3584.061458        0.012689
BFGS:   35 12:42:24    -3584.061520        0.014604
BFGS:   36 12:42:24    -3584.061575        0.012368
BFGS:   37 12:42:24    -3584.061619        0.011341
BFGS:   38 12:42:25    -3584.061659        0.007930
