      Step     Time          Energy          fmax
BFGS:    0 09:46:19    -3847.352038        0.807993
BFGS:    1 09:46:20    -3847.369875        0.741818
BFGS:    2 09:46:22    -3847.451297        0.985666
BFGS:    3 09:46:23    -3847.471314        0.713167
BFGS:    4 09:46:24    -3847.507074        0.671220
BFGS:    5 09:46:25    -3847.787274        1.049153
BFGS:    6 09:46:27    -3848.022010        1.540902
BFGS:    7 09:46:28    -3848.439406        0.896669
BFGS:    8 09:46:30    -3848.688318        0.416190
BFGS:    9 09:46:31    -3848.711707        0.222074
BFGS:   10 09:46:32    -3848.719849        0.064968
BFGS:   11 09:46:33    -3848.720107        0.054749
BFGS:   12 09:46:34    -3848.720221        0.054179
BFGS:   13 09:46:35    -3848.721019        0.061003
BFGS:   14 09:46:35    -3848.722155        0.068934
BFGS:   15 09:46:36    -3848.723671        0.062541
BFGS:   16 09:46:37    -3848.724301        0.035947
BFGS:   17 09:46:38    -3848.724421        0.018467
BFGS:   18 09:46:39    -3848.724439        0.014793
BFGS:   19 09:46:39    -3848.724447        0.014188
BFGS:   20 09:46:40    -3848.724473        0.011391
BFGS:   21 09:46:41    -3848.724494        0.006622
      Step     Time          Energy          fmax
BFGS:    0 12:31:52    -3833.462002        8.340687
BFGS:    1 12:31:54    -3840.793642        7.232622
BFGS:    2 12:31:57    -3842.294623       14.426582
BFGS:    3 12:31:58    -3844.675364        4.690634
BFGS:    4 12:32:00    -3845.407891        2.711567
BFGS:    5 12:32:02    -3845.748372        2.354315
BFGS:    6 12:32:04    -3845.845522        0.831377
BFGS:    7 12:32:05    -3845.918093        0.403766
BFGS:    8 12:32:07    -3845.960817        0.605556
BFGS:    9 12:32:09    -3845.999062        0.428114
BFGS:   10 12:32:10    -3846.062258        0.590654
BFGS:   11 12:32:12    -3846.128968        0.728053
BFGS:   12 12:32:13    -3846.228074        0.982045
BFGS:   13 12:32:15    -3846.341901        1.048696
BFGS:   14 12:32:16    -3846.531410        1.197531
BFGS:   15 12:32:18    -3846.808835        1.433827
BFGS:   16 12:32:19    -3847.031537        2.284248
BFGS:   17 12:32:21    -3847.351821        2.068150
BFGS:   18 12:32:22    -3847.702882        1.325672
BFGS:   19 12:32:23    -3847.980493        1.180638
BFGS:   20 12:32:24    -3848.078676        1.124871
BFGS:   21 12:32:26    -3848.181317        0.663152
BFGS:   22 12:32:27    -3848.437845        0.823746
BFGS:   23 12:32:28    -3848.556284        0.791676
BFGS:   24 12:32:29    -3848.662101        0.787562
BFGS:   25 12:32:31    -3848.753415        0.632162
BFGS:   26 12:32:32    -3848.856082        0.878301
BFGS:   27 12:32:33    -3848.951177        0.734777
BFGS:   28 12:32:34    -3849.047907        0.479588
BFGS:   29 12:32:36    -3849.146835        0.719737
BFGS:   30 12:32:37    -3849.256922        0.606367
BFGS:   31 12:32:38    -3849.366474        0.735577
BFGS:   32 12:32:39    -3849.487151        0.651659
BFGS:   33 12:32:40    -3849.622227        0.572384
BFGS:   34 12:32:41    -3849.771268        0.515186
BFGS:   35 12:32:43    -3849.932211        0.601856
BFGS:   36 12:32:44    -3850.064836        0.502051
BFGS:   37 12:32:45    -3850.141854        0.393257
BFGS:   38 12:32:46    -3850.186301        0.291653
BFGS:   39 12:32:47    -3850.215209        0.216314
BFGS:   40 12:32:48    -3850.234672        0.179270
BFGS:   41 12:32:49    -3850.245937        0.146470
BFGS:   42 12:32:49    -3850.251669        0.122580
BFGS:   43 12:32:50    -3850.255340        0.116618
BFGS:   44 12:32:51    -3850.258320        0.092254
BFGS:   45 12:32:52    -3850.260844        0.077642
BFGS:   46 12:32:52    -3850.262785        0.069907
BFGS:   47 12:32:53    -3850.264326        0.073516
BFGS:   48 12:32:54    -3850.265666        0.059426
BFGS:   49 12:32:55    -3850.266802        0.047396
BFGS:   50 12:32:56    -3850.267754        0.073790
BFGS:   51 12:32:56    -3850.268679        0.072209
BFGS:   52 12:32:57    -3850.269726        0.058695
BFGS:   53 12:32:58    -3850.270987        0.050655
BFGS:   54 12:32:58    -3850.272395        0.052408
BFGS:   55 12:32:59    -3850.273873        0.057307
BFGS:   56 12:33:00    -3850.275385        0.061440
BFGS:   57 12:33:01    -3850.276886        0.060261
BFGS:   58 12:33:01    -3850.278181        0.048384
BFGS:   59 12:33:02    -3850.279108        0.050402
BFGS:   60 12:33:03    -3850.279768        0.035183
BFGS:   61 12:33:03    -3850.280328        0.040844
BFGS:   62 12:33:04    -3850.280837        0.034108
BFGS:   63 12:33:05    -3850.281228        0.029190
BFGS:   64 12:33:05    -3850.281520        0.022218
BFGS:   65 12:33:06    -3850.281805        0.024952
BFGS:   66 12:33:06    -3850.282161        0.028231
BFGS:   67 12:33:07    -3850.282577        0.032887
BFGS:   68 12:33:08    -3850.282971        0.033241
BFGS:   69 12:33:09    -3850.283346        0.032833
BFGS:   70 12:33:09    -3850.283770        0.046815
BFGS:   71 12:33:10    -3850.284327        0.059761
BFGS:   72 12:33:11    -3850.284947        0.052520
BFGS:   73 12:33:11    -3850.285468        0.037308
BFGS:   74 12:33:12    -3850.285821        0.032598
BFGS:   75 12:33:13    -3850.286079        0.028457
BFGS:   76 12:33:13    -3850.286287        0.029942
BFGS:   77 12:33:14    -3850.286440        0.022491
BFGS:   78 12:33:15    -3850.286557        0.017667
BFGS:   79 12:33:15    -3850.286662        0.015672
BFGS:   80 12:33:16    -3850.286748        0.014214
BFGS:   81 12:33:16    -3850.286793        0.008661
