      Step     Time          Energy          fmax
BFGS:    0 12:44:21    -3181.294802      430.537261
BFGS:    1 12:44:22    -3266.519617       46.324155
BFGS:    2 12:44:23    -3287.677534       73.354474
BFGS:    3 12:44:24    -3298.039670       43.676105
BFGS:    4 12:44:25    -3304.787097       17.758686
BFGS:    5 12:44:26    -3306.863331       10.883042
BFGS:    6 12:44:27    -3308.787518        3.418321
BFGS:    7 12:44:28    -3309.788210        1.837584
BFGS:    8 12:44:28    -3310.531241        2.935563
BFGS:    9 12:44:29    -3311.055825        4.135453
BFGS:   10 12:44:30    -3311.485456        4.516035
BFGS:   11 12:44:31    -3311.750644        4.155272
BFGS:   12 12:44:31    -3311.927041        3.451192
BFGS:   13 12:44:32    -3312.093477        2.772641
BFGS:   14 12:44:33    -3312.292721        1.953115
BFGS:   15 12:44:34    -3312.493264        0.852158
BFGS:   16 12:44:34    -3312.615705        0.782113
BFGS:   17 12:44:35    -3312.663089        0.461646
BFGS:   18 12:44:36    -3312.683236        0.414317
BFGS:   19 12:44:36    -3312.696737        0.409295
BFGS:   20 12:44:37    -3312.706556        0.366486
BFGS:   21 12:44:38    -3312.716003        0.353274
BFGS:   22 12:44:38    -3312.726276        0.377252
BFGS:   23 12:44:39    -3312.736709        0.312749
BFGS:   24 12:44:39    -3312.746673        0.261137
BFGS:   25 12:44:40    -3312.756255        0.223175
BFGS:   26 12:44:41    -3312.766203        0.198339
BFGS:   27 12:44:41    -3312.777385        0.222769
BFGS:   28 12:44:42    -3312.789438        0.248725
BFGS:   29 12:44:42    -3312.800536        0.256628
BFGS:   30 12:44:43    -3312.809049        0.244623
BFGS:   31 12:44:44    -3312.814735        0.235581
BFGS:   32 12:44:44    -3312.818301        0.260468
BFGS:   33 12:44:45    -3312.820831        0.268483
BFGS:   34 12:44:45    -3312.822825        0.236370
BFGS:   35 12:44:46    -3312.824262        0.172440
BFGS:   36 12:44:46    -3312.825106        0.104767
BFGS:   37 12:44:47    -3312.825544        0.062656
BFGS:   38 12:44:47    -3312.825811        0.041823
BFGS:   39 12:44:48    -3312.826014        0.027873
BFGS:   40 12:44:48    -3312.826165        0.019248
BFGS:   41 12:44:49    -3312.826269        0.015827
BFGS:   42 12:44:49    -3312.826351        0.015881
BFGS:   43 12:44:49    -3312.826418        0.016525
BFGS:   44 12:44:50    -3312.826467        0.017384
BFGS:   45 12:44:50    -3312.826502        0.020855
BFGS:   46 12:44:50    -3312.826529        0.022457
BFGS:   47 12:44:51    -3312.826552        0.021951
BFGS:   48 12:44:51    -3312.826567        0.019236
BFGS:   49 12:44:52    -3312.826577        0.015740
BFGS:   50 12:44:52    -3312.826585        0.011299
BFGS:   51 12:44:52    -3312.826592        0.006800
