      Step     Time          Energy          fmax
BFGS:    0 09:57:14    -3189.554611        4.977920
BFGS:    1 09:57:15    -3189.960645        3.857125
BFGS:    2 09:57:16    -3190.356609        3.574007
BFGS:    3 09:57:18    -3190.788697        4.335558
BFGS:    4 09:57:19    -3190.950714        2.861851
BFGS:    5 09:57:20    -3191.043152        0.373073
BFGS:    6 09:57:20    -3191.046337        0.315836
BFGS:    7 09:57:21    -3191.049034        0.132008
BFGS:    8 09:57:22    -3191.049547        0.084931
BFGS:    9 09:57:22    -3191.049652        0.039476
BFGS:   10 09:57:23    -3191.049667        0.008717
