      Step     Time          Energy          fmax
BFGS:    0 10:00:31    -3307.933420       31.594487
BFGS:    1 10:00:33    -3313.680543       12.412078
BFGS:    2 10:00:34    -3316.124567        6.208543
BFGS:    3 10:00:35    -3318.105403        4.796084
BFGS:    4 10:00:36    -3319.326037        4.139825
BFGS:    5 10:00:37    -3319.783708        3.460356
BFGS:    6 10:00:38    -3320.027940        2.401449
BFGS:    7 10:00:39    -3320.287034        1.805800
BFGS:    8 10:00:40    -3320.448523        1.226207
BFGS:    9 10:00:41    -3320.518657        1.038596
BFGS:   10 10:00:42    -3320.543490        0.963215
BFGS:   11 10:00:43    -3320.574510        1.060256
BFGS:   12 10:00:44    -3320.598485        0.712762
BFGS:   13 10:00:45    -3320.613660        0.080046
BFGS:   14 10:00:45    -3320.613859        0.053915
BFGS:   15 10:00:46    -3320.613908        0.055405
BFGS:   16 10:00:47    -3320.614281        0.203274
BFGS:   17 10:00:48    -3320.606176        4.546660
BFGS:   18 10:00:49    -3320.406105        6.420378
BFGS:   19 10:00:50    -3320.986192        4.480050
BFGS:   20 10:00:51    -3321.521987        4.914229
BFGS:   21 10:00:52    -3322.742441        5.715957
BFGS:   22 10:00:53    -3323.805422        5.779831
BFGS:   23 10:00:55    -3324.681700        4.968013
BFGS:   24 10:00:56    -3325.354486        3.670576
BFGS:   25 10:00:57    -3325.861222        2.617249
BFGS:   26 10:00:58    -3326.213909        1.631919
BFGS:   27 10:00:59    -3326.352196        0.991452
BFGS:   28 10:00:59    -3326.392424        0.904183
BFGS:   29 10:01:00    -3326.415416        0.848412
BFGS:   30 10:01:01    -3326.456197        0.731787
BFGS:   31 10:01:02    -3326.513518        0.975631
BFGS:   32 10:01:03    -3326.555211        0.836460
BFGS:   33 10:01:04    -3326.585864        0.426425
BFGS:   34 10:01:05    -3326.604649        0.248471
BFGS:   35 10:01:05    -3326.607293        0.247096
BFGS:   36 10:01:06    -3326.608450        0.232889
BFGS:   37 10:01:07    -3326.608545        0.234194
BFGS:   38 10:01:07    -3326.608926        0.241749
BFGS:   39 10:01:08    -3326.609477        0.252126
BFGS:   40 10:01:09    -3326.610615        0.270012
BFGS:   41 10:01:09    -3326.611895        0.282440
BFGS:   42 10:01:10    -3326.612910        0.284848
BFGS:   43 10:01:11    -3326.613593        0.281748
BFGS:   44 10:01:11    -3326.614929        0.276696
BFGS:   45 10:01:12    -3326.617752        0.270288
BFGS:   46 10:01:13    -3326.622782        0.258950
BFGS:   47 10:01:14    -3326.628466        0.232159
BFGS:   48 10:01:15    -3326.635138        0.160130
BFGS:   49 10:01:15    -3326.636652        0.133131
BFGS:   50 10:01:16    -3326.636801        0.129952
BFGS:   51 10:01:16    -3326.636811        0.130647
BFGS:   52 10:01:17    -3326.636815        0.130109
BFGS:   53 10:01:17    -3326.636827        0.127688
BFGS:   54 10:01:18    -3326.636836        0.126559
BFGS:   55 10:01:18    -3326.636884        0.122982
BFGS:   56 10:01:19    -3326.636989        0.117877
BFGS:   57 10:01:20    -3326.637259        0.110700
BFGS:   58 10:01:20    -3326.637936        0.102587
BFGS:   59 10:01:21    -3326.639556        0.101713
BFGS:   60 10:01:22    -3326.642730        0.120889
BFGS:   61 10:01:22    -3326.647609        0.129960
BFGS:   62 10:01:23    -3326.652554        0.060144
BFGS:   63 10:01:24    -3326.653970        0.028555
BFGS:   64 10:01:25    -3326.654111        0.007189
