      Step     Time          Energy          fmax
BFGS:    0 13:03:27    -3468.172803       11.030535
BFGS:    1 13:03:29    -3477.218706        8.474671
BFGS:    2 13:03:30    -3486.523309        7.322764
BFGS:    3 13:03:31    -3492.156455        7.499434
BFGS:    4 13:03:32    -3496.794854        6.751943
BFGS:    5 13:03:33    -3499.326069        2.380928
BFGS:    6 13:03:34    -3500.182985        1.527852
BFGS:    7 13:03:35    -3500.730361        4.413211
BFGS:    8 13:03:36    -3501.286682        1.853441
BFGS:    9 13:03:37    -3501.706672        1.760241
BFGS:   10 13:03:37    -3502.159426        1.062999
BFGS:   11 13:03:38    -3502.404218        0.879178
BFGS:   12 13:03:39    -3502.721840        1.034068
BFGS:   13 13:03:39    -3502.845837        0.519275
BFGS:   14 13:03:40    -3502.934841        0.337585
BFGS:   15 13:03:41    -3502.988995        0.404239
BFGS:   16 13:03:41    -3503.046530        0.499177
BFGS:   17 13:03:42    -3503.096942        0.349287
BFGS:   18 13:03:43    -3503.133871        0.271912
BFGS:   19 13:03:43    -3503.159545        0.312015
BFGS:   20 13:03:44    -3503.185619        0.226260
BFGS:   21 13:03:45    -3503.218328        0.293872
BFGS:   22 13:03:45    -3503.252275        0.287971
BFGS:   23 13:03:46    -3503.275739        0.239859
BFGS:   24 13:03:47    -3503.290036        0.175891
BFGS:   25 13:03:47    -3503.303298        0.237206
BFGS:   26 13:03:48    -3503.322443        0.265595
BFGS:   27 13:03:48    -3503.353254        0.442233
BFGS:   28 13:03:49    -3503.383100        0.399527
BFGS:   29 13:03:50    -3503.407126        0.191566
BFGS:   30 13:03:50    -3503.428177        0.202311
BFGS:   31 13:03:51    -3503.451154        0.271161
BFGS:   32 13:03:52    -3503.474690        0.281767
BFGS:   33 13:03:52    -3503.494737        0.180268
BFGS:   34 13:03:53    -3503.508842        0.145115
BFGS:   35 13:03:54    -3503.518035        0.152454
BFGS:   36 13:03:54    -3503.524434        0.116267
BFGS:   37 13:03:55    -3503.528701        0.076185
BFGS:   38 13:03:55    -3503.531201        0.050677
BFGS:   39 13:03:56    -3503.532581        0.052807
BFGS:   40 13:03:56    -3503.533371        0.033954
BFGS:   41 13:03:57    -3503.533916        0.039898
BFGS:   42 13:03:57    -3503.534400        0.037058
BFGS:   43 13:03:58    -3503.534871        0.047553
BFGS:   44 13:03:58    -3503.535326        0.034555
BFGS:   45 13:03:59    -3503.535732        0.027242
BFGS:   46 13:03:59    -3503.536125        0.036750
BFGS:   47 13:04:00    -3503.536501        0.034590
BFGS:   48 13:04:00    -3503.536832        0.032194
BFGS:   49 13:04:01    -3503.537116        0.023995
BFGS:   50 13:04:01    -3503.537346        0.036720
BFGS:   51 13:04:02    -3503.537522        0.029031
BFGS:   52 13:04:02    -3503.537622        0.012258
BFGS:   53 13:04:03    -3503.537669        0.010063
BFGS:   54 13:04:03    -3503.537692        0.009087
