      Step     Time          Energy          fmax
BFGS:    0 10:21:01    -2006.782246        7.244268
BFGS:    1 10:21:01    -2009.854314       12.046842
BFGS:    2 10:21:01    -2014.429701        4.751063
BFGS:    3 10:21:02    -2024.410169       10.205854
BFGS:    4 10:21:02    -2029.734363       23.219763
BFGS:    5 10:21:02    -2034.497566       13.880825
BFGS:    6 10:21:02    -2038.535560        3.665605
BFGS:    7 10:21:02    -2041.259353        3.217818
BFGS:    8 10:21:03    -2042.851809        4.088045
BFGS:    9 10:21:03    -2043.832531        2.043733
BFGS:   10 10:21:03    -2044.195658        1.513663
BFGS:   11 10:21:03    -2044.387697        1.014416
BFGS:   12 10:21:03    -2044.501984        0.711760
BFGS:   13 10:21:03    -2044.626974        0.737982
BFGS:   14 10:21:04    -2044.686929        3.090946
BFGS:   15 10:21:04    -2044.846881        1.214731
BFGS:   16 10:21:04    -2044.966686        1.229719
BFGS:   17 10:21:04    -2045.071171        0.568682
BFGS:   18 10:21:04    -2045.122290        0.591417
BFGS:   19 10:21:04    -2045.180803        0.582486
BFGS:   20 10:21:05    -2045.219801        0.513818
BFGS:   21 10:21:05    -2045.250954        0.465402
BFGS:   22 10:21:05    -2045.275078        0.392719
BFGS:   23 10:21:05    -2045.296996        0.424285
BFGS:   24 10:21:05    -2045.313876        0.326090
BFGS:   25 10:21:05    -2045.325815        0.249340
BFGS:   26 10:21:05    -2045.334357        0.274905
BFGS:   27 10:21:06    -2045.340523        0.328786
BFGS:   28 10:21:06    -2045.345908        0.419680
BFGS:   29 10:21:06    -2045.353660        0.463178
BFGS:   30 10:21:06    -2045.373620        0.745216
BFGS:   31 10:21:06    -2045.558068        3.268341
BFGS:   32 10:21:06    -2046.304033        4.672501
BFGS:   33 10:21:07    -2046.271988        7.629220
BFGS:   34 10:21:07    -2046.919955        2.962752
BFGS:   35 10:21:07    -2047.163900        1.825934
BFGS:   36 10:21:07    -2047.434317        2.427736
BFGS:   37 10:21:08    -2047.867789        7.372454
BFGS:   38 10:21:08    -2047.523600       10.809055
BFGS:   39 10:21:08    -2048.833992        2.457900
BFGS:   40 10:21:08    -2049.033824        1.595133
BFGS:   41 10:21:08    -2049.169108        1.511988
BFGS:   42 10:21:08    -2049.218192        0.484022
BFGS:   43 10:21:09    -2049.261805        0.389974
BFGS:   44 10:21:09    -2049.291258        0.402331
BFGS:   45 10:21:09    -2049.324597        0.435100
BFGS:   46 10:21:09    -2049.351745        0.332777
BFGS:   47 10:21:09    -2049.368944        0.304957
BFGS:   48 10:21:09    -2049.378283        0.249067
BFGS:   49 10:21:09    -2049.385249        0.185341
BFGS:   50 10:21:10    -2049.391534        0.219926
