      Step     Time          Energy          fmax
BFGS:    0 13:00:08    -3161.166243        5.936817
BFGS:    1 13:00:09    -3164.919240        4.544291
BFGS:    2 13:00:10    -3164.838834       17.854070
BFGS:    3 13:00:11    -3167.335709        3.553722
BFGS:    4 13:00:11    -3167.937979        2.245130
BFGS:    5 13:00:12    -3168.385620        1.703191
BFGS:    6 13:00:13    -3168.556376        1.331849
BFGS:    7 13:00:13    -3169.063079        0.902798
BFGS:    8 13:00:14    -3169.201156        1.178662
BFGS:    9 13:00:15    -3169.422532        1.021853
BFGS:   10 13:00:15    -3169.524305        0.678385
BFGS:   11 13:00:16    -3169.703283        0.664282
BFGS:   12 13:00:16    -3169.806271        0.837741
BFGS:   13 13:00:17    -3169.881472        0.435418
BFGS:   14 13:00:18    -3169.929519        0.334826
BFGS:   15 13:00:18    -3169.975805        0.485915
BFGS:   16 13:00:19    -3170.005919        0.497303
BFGS:   17 13:00:19    -3170.025486        0.207613
BFGS:   18 13:00:20    -3170.034641        0.169526
BFGS:   19 13:00:20    -3170.042558        0.217713
BFGS:   20 13:00:20    -3170.046667        0.121118
BFGS:   21 13:00:21    -3170.049059        0.064580
BFGS:   22 13:00:21    -3170.051223        0.081041
BFGS:   23 13:00:22    -3170.055650        0.208383
BFGS:   24 13:00:22    -3170.061385        0.277342
BFGS:   25 13:00:22    -3170.067946        0.224724
BFGS:   26 13:00:23    -3170.072676        0.093694
BFGS:   27 13:00:23    -3170.075602        0.094454
BFGS:   28 13:00:24    -3170.077707        0.095256
BFGS:   29 13:00:24    -3170.079400        0.074947
BFGS:   30 13:00:25    -3170.080669        0.052230
BFGS:   31 13:00:25    -3170.081574        0.046002
BFGS:   32 13:00:25    -3170.082158        0.047031
BFGS:   33 13:00:26    -3170.082531        0.035831
BFGS:   34 13:00:26    -3170.082832        0.036702
BFGS:   35 13:00:27    -3170.083187        0.041244
BFGS:   36 13:00:27    -3170.083635        0.054638
BFGS:   37 13:00:27    -3170.084070        0.044012
BFGS:   38 13:00:27    -3170.084406        0.030015
BFGS:   39 13:00:28    -3170.084695        0.036755
BFGS:   40 13:00:28    -3170.084999        0.056306
BFGS:   41 13:00:28    -3170.085257        0.045678
BFGS:   42 13:00:29    -3170.085389        0.016005
BFGS:   43 13:00:29    -3170.085433        0.008901
