      Step     Time          Energy          fmax
BFGS:    0 13:46:04    -3468.349238       13.120604
BFGS:    1 13:46:06    -3477.626844        9.222530
BFGS:    2 13:46:08    -3486.135350        8.220507
BFGS:    3 13:46:09    -3491.585248       11.049821
BFGS:    4 13:46:10    -3495.867105        6.045673
BFGS:    5 13:46:11    -3498.818722        4.920003
BFGS:    6 13:46:11    -3500.377306        3.155104
BFGS:    7 13:46:12    -3501.133417        5.356698
BFGS:    8 13:46:13    -3501.513180        2.572152
BFGS:    9 13:46:14    -3502.043476        1.174671
BFGS:   10 13:46:15    -3502.572740        2.824625
BFGS:   11 13:46:15    -3502.823231        1.864105
BFGS:   12 13:46:16    -3503.224197        1.280957
BFGS:   13 13:46:17    -3503.446038        1.395526
BFGS:   14 13:46:17    -3503.610726        0.808110
BFGS:   15 13:46:18    -3503.701129        0.392135
BFGS:   16 13:46:19    -3503.774104        0.478298
BFGS:   17 13:46:19    -3503.839756        0.704701
BFGS:   18 13:46:20    -3503.913576        0.497899
BFGS:   19 13:46:21    -3503.972639        0.367248
BFGS:   20 13:46:21    -3504.015072        0.441280
BFGS:   21 13:46:22    -3504.059243        0.568643
BFGS:   22 13:46:23    -3504.112001        0.452009
BFGS:   23 13:46:23    -3504.165547        0.367716
BFGS:   24 13:46:24    -3504.204354        0.250051
BFGS:   25 13:46:24    -3504.229632        0.255832
BFGS:   26 13:46:25    -3504.256114        0.270913
BFGS:   27 13:46:26    -3504.295862        0.388417
BFGS:   28 13:46:26    -3504.346087        0.462167
BFGS:   29 13:46:27    -3504.392395        0.374010
BFGS:   30 13:46:27    -3504.427504        0.267553
BFGS:   31 13:46:28    -3504.456890        0.246750
BFGS:   32 13:46:29    -3504.487526        0.344628
BFGS:   33 13:46:29    -3504.517573        0.301740
BFGS:   34 13:46:30    -3504.538653        0.201861
BFGS:   35 13:46:30    -3504.551485        0.142560
BFGS:   36 13:46:31    -3504.560229        0.148101
BFGS:   37 13:46:32    -3504.567181        0.134913
BFGS:   38 13:46:32    -3504.572517        0.124961
BFGS:   39 13:46:32    -3504.576392        0.078658
BFGS:   40 13:46:33    -3504.579444        0.081640
BFGS:   41 13:46:33    -3504.582257        0.094706
BFGS:   42 13:46:34    -3504.585044        0.117428
BFGS:   43 13:46:34    -3504.587922        0.117597
BFGS:   44 13:46:35    -3504.590893        0.078903
BFGS:   45 13:46:35    -3504.593707        0.075914
BFGS:   46 13:46:36    -3504.595979        0.060850
BFGS:   47 13:46:36    -3504.597526        0.052467
BFGS:   48 13:46:37    -3504.598503        0.055370
BFGS:   49 13:46:37    -3504.599167        0.053354
BFGS:   50 13:46:38    -3504.599663        0.038782
BFGS:   51 13:46:38    -3504.600010        0.031717
BFGS:   52 13:46:38    -3504.600209        0.017409
BFGS:   53 13:46:39    -3504.600307        0.015443
BFGS:   54 13:46:39    -3504.600361        0.014666
BFGS:   55 13:46:40    -3504.600404        0.012874
BFGS:   56 13:46:40    -3504.600444        0.011557
BFGS:   57 13:46:40    -3504.600480        0.009046
