      Step     Time          Energy          fmax
BFGS:    0 10:21:25    -2438.060982        4.607743
BFGS:    1 10:21:26    -2440.245865        3.694985
BFGS:    2 10:21:26    -2443.166232        3.466665
BFGS:    3 10:21:27    -2449.305888        4.704304
BFGS:    4 10:21:27    -2454.283645        4.963553
BFGS:    5 10:21:28    -2454.174314        8.277687
BFGS:    6 10:21:28    -2456.788722        4.042643
BFGS:    7 10:21:28    -2459.097281        3.221376
BFGS:    8 10:21:29    -2461.376984        8.356314
BFGS:    9 10:21:29    -2462.797054        3.993586
BFGS:   10 10:21:30    -2464.331917        3.535999
BFGS:   11 10:21:30    -2466.525001        4.773805
BFGS:   12 10:21:30    -2467.956694        4.286807
BFGS:   13 10:21:31    -2470.223175        3.122050
BFGS:   14 10:21:31    -2472.093673        3.054988
BFGS:   15 10:21:31    -2473.702445        3.108350
BFGS:   16 10:21:32    -2475.562191        2.743237
BFGS:   17 10:21:32    -2476.834720        2.950115
BFGS:   18 10:21:32    -2478.138294        3.398810
BFGS:   19 10:21:33    -2478.834358        3.249443
BFGS:   20 10:21:33    -2479.385186        1.628569
BFGS:   21 10:21:33    -2479.656937        1.046014
BFGS:   22 10:21:33    -2479.740581        0.403808
BFGS:   23 10:21:34    -2479.771902        0.386227
BFGS:   24 10:21:34    -2479.791636        0.337175
BFGS:   25 10:21:34    -2479.806325        0.221752
BFGS:   26 10:21:34    -2479.817028        0.180452
BFGS:   27 10:21:35    -2479.823859        0.138476
BFGS:   28 10:21:35    -2479.829504        0.147333
BFGS:   29 10:21:35    -2479.836776        0.171670
BFGS:   30 10:21:35    -2479.843981        0.162350
BFGS:   31 10:21:35    -2479.851773        0.190456
BFGS:   32 10:21:36    -2479.860142        0.149224
BFGS:   33 10:21:36    -2479.868481        0.165333
BFGS:   34 10:21:36    -2479.875519        0.149975
BFGS:   35 10:21:36    -2479.881485        0.136158
BFGS:   36 10:21:36    -2479.887222        0.123839
BFGS:   37 10:21:37    -2479.892746        0.130766
BFGS:   38 10:21:37    -2479.896751        0.101138
BFGS:   39 10:21:37    -2479.898711        0.075121
BFGS:   40 10:21:37    -2479.899622        0.047240
BFGS:   41 10:21:37    -2479.900303        0.047199
BFGS:   42 10:21:38    -2479.900963        0.045480
BFGS:   43 10:21:38    -2479.901518        0.043779
BFGS:   44 10:21:38    -2479.901927        0.039430
BFGS:   45 10:21:38    -2479.902236        0.034890
BFGS:   46 10:21:38    -2479.902499        0.028446
BFGS:   47 10:21:38    -2479.902726        0.026079
BFGS:   48 10:21:38    -2479.902917        0.024929
BFGS:   49 10:21:39    -2479.903088        0.026038
BFGS:   50 10:21:39    -2479.903253        0.028912
