      Step     Time          Energy          fmax
BFGS:    0 10:21:26    -2545.406323       10.714286
BFGS:    1 10:21:27    -2549.854977        4.488375
BFGS:    2 10:21:28    -2553.175266        3.650056
BFGS:    3 10:21:28    -2557.026779        7.703336
BFGS:    4 10:21:29    -2561.190249       21.524489
BFGS:    5 10:21:29    -2563.671979       23.110862
BFGS:    6 10:21:30    -2567.458186        7.324203
BFGS:    7 10:21:30    -2569.297964        4.216558
BFGS:    8 10:21:31    -2571.092804        3.583347
BFGS:    9 10:21:31    -2572.463300        3.075214
BFGS:   10 10:21:32    -2574.362161        3.172386
BFGS:   11 10:21:32    -2575.433140        3.545144
BFGS:   12 10:21:32    -2577.151814        4.601529
BFGS:   13 10:21:33    -2578.940957        4.524413
BFGS:   14 10:21:33    -2580.090526        3.912858
BFGS:   15 10:21:33    -2582.065485        3.197566
BFGS:   16 10:21:34    -2582.618351        1.981057
BFGS:   17 10:21:34    -2583.184134        1.332838
BFGS:   18 10:21:34    -2583.359248        1.146921
BFGS:   19 10:21:35    -2583.514367        0.674938
BFGS:   20 10:21:35    -2583.568079        0.422407
BFGS:   21 10:21:35    -2583.590776        0.255774
BFGS:   22 10:21:35    -2583.602708        0.178661
BFGS:   23 10:21:36    -2583.610590        0.168390
BFGS:   24 10:21:36    -2583.615681        0.114118
BFGS:   25 10:21:36    -2583.619140        0.095593
BFGS:   26 10:21:36    -2583.621939        0.107784
BFGS:   27 10:21:36    -2583.624218        0.113178
BFGS:   28 10:21:37    -2583.625869        0.083501
BFGS:   29 10:21:37    -2583.627082        0.065171
BFGS:   30 10:21:37    -2583.628124        0.058846
BFGS:   31 10:21:37    -2583.629094        0.068091
BFGS:   32 10:21:38    -2583.629959        0.051986
BFGS:   33 10:21:38    -2583.630728        0.054294
BFGS:   34 10:21:38    -2583.631498        0.054144
BFGS:   35 10:21:38    -2583.632282        0.046738
BFGS:   36 10:21:38    -2583.632994        0.060567
BFGS:   37 10:21:38    -2583.633584        0.057830
BFGS:   38 10:21:39    -2583.634084        0.055019
BFGS:   39 10:21:39    -2583.634569        0.040033
BFGS:   40 10:21:39    -2583.635017        0.037781
BFGS:   41 10:21:39    -2583.635396        0.037270
BFGS:   42 10:21:39    -2583.635776        0.036029
BFGS:   43 10:21:40    -2583.636157        0.037829
BFGS:   44 10:21:40    -2583.636482        0.031147
BFGS:   45 10:21:40    -2583.636702        0.022051
BFGS:   46 10:21:40    -2583.636842        0.018673
BFGS:   47 10:21:40    -2583.636950        0.016500
BFGS:   48 10:21:41    -2583.637042        0.016745
BFGS:   49 10:21:41    -2583.637116        0.015200
BFGS:   50 10:21:41    -2583.637177        0.013037
