      Step     Time          Energy          fmax
BFGS:    0 10:21:27    -2524.012444       13.288806
BFGS:    1 10:21:28    -2530.640923        4.326235
BFGS:    2 10:21:28    -2534.035664        3.577496
BFGS:    3 10:21:29    -2537.762007        5.913653
BFGS:    4 10:21:30    -2541.043509        7.357074
BFGS:    5 10:21:30    -2544.584479        6.675623
BFGS:    6 10:21:31    -2546.423659        3.361930
BFGS:    7 10:21:31    -2548.092968        3.657206
BFGS:    8 10:21:31    -2549.411051        2.923800
BFGS:    9 10:21:32    -2550.353553        7.826140
BFGS:   10 10:21:32    -2551.838506        3.268196
BFGS:   11 10:21:33    -2553.066714        1.776254
BFGS:   12 10:21:33    -2554.894203        2.562290
BFGS:   13 10:21:33    -2556.197633        3.483701
BFGS:   14 10:21:34    -2557.154581        2.272736
BFGS:   15 10:21:34    -2557.788900        1.519889
BFGS:   16 10:21:34    -2558.370853        1.450216
BFGS:   17 10:21:35    -2558.707001        1.415131
BFGS:   18 10:21:35    -2558.968601        0.866230
BFGS:   19 10:21:35    -2559.039162        0.437858
BFGS:   20 10:21:36    -2559.064955        0.176333
BFGS:   21 10:21:36    -2559.071107        0.137371
BFGS:   22 10:21:36    -2559.076611        0.109183
BFGS:   23 10:21:36    -2559.080412        0.133871
BFGS:   24 10:21:37    -2559.085125        0.163495
BFGS:   25 10:21:37    -2559.088933        0.121561
BFGS:   26 10:21:37    -2559.091887        0.084078
BFGS:   27 10:21:37    -2559.094391        0.082019
BFGS:   28 10:21:38    -2559.097310        0.108238
BFGS:   29 10:21:38    -2559.100713        0.111550
BFGS:   30 10:21:38    -2559.104206        0.090259
BFGS:   31 10:21:38    -2559.107322        0.083416
BFGS:   32 10:21:39    -2559.109889        0.085039
BFGS:   33 10:21:39    -2559.112055        0.087728
BFGS:   34 10:21:39    -2559.113925        0.076611
BFGS:   35 10:21:39    -2559.115350        0.064528
BFGS:   36 10:21:39    -2559.116253        0.052536
BFGS:   37 10:21:40    -2559.116755        0.049288
BFGS:   38 10:21:40    -2559.117020        0.027278
BFGS:   39 10:21:40    -2559.117159        0.017154
BFGS:   40 10:21:40    -2559.117245        0.015324
BFGS:   41 10:21:40    -2559.117314        0.020373
BFGS:   42 10:21:40    -2559.117368        0.014195
BFGS:   43 10:21:41    -2559.117401        0.009543
