      Step     Time          Energy          fmax
BFGS:    0 10:22:03    -3207.660065        7.310798
BFGS:    1 10:22:04    -3212.904439        7.633951
BFGS:    2 10:22:05    -3220.816270        7.741176
BFGS:    3 10:22:06    -3227.249090        6.870482
BFGS:    4 10:22:08    -3231.088230        6.216221
BFGS:    5 10:22:09    -3234.045885        5.284580
BFGS:    6 10:22:10    -3238.921425        4.914185
BFGS:    7 10:22:11    -3240.604163        5.249461
BFGS:    8 10:22:11    -3241.558753        2.257390
BFGS:    9 10:22:12    -3242.134756        6.464212
BFGS:   10 10:22:13    -3242.532325        3.031875
BFGS:   11 10:22:14    -3243.189742        1.623397
BFGS:   12 10:22:15    -3243.911814        2.463822
BFGS:   13 10:22:17    -3244.626675        2.902530
BFGS:   14 10:22:18    -3245.117232        3.503657
BFGS:   15 10:22:18    -3245.689292        1.933195
BFGS:   16 10:22:19    -3246.073921        0.965194
BFGS:   17 10:22:20    -3246.233156        0.794593
BFGS:   18 10:22:21    -3246.359990        0.775219
BFGS:   19 10:22:22    -3246.471715        0.662400
BFGS:   20 10:22:22    -3246.552812        0.594127
BFGS:   21 10:22:23    -3246.612529        0.544819
BFGS:   22 10:22:24    -3246.662437        0.478246
BFGS:   23 10:22:25    -3246.715202        0.426618
BFGS:   24 10:22:26    -3246.760102        0.390828
BFGS:   25 10:22:27    -3246.793867        0.410095
BFGS:   26 10:22:27    -3246.818621        0.297729
BFGS:   27 10:22:28    -3246.837880        0.299760
BFGS:   28 10:22:28    -3246.856071        0.231427
BFGS:   29 10:22:29    -3246.878542        0.295553
BFGS:   30 10:22:30    -3246.910468        0.407177
BFGS:   31 10:22:30    -3246.953252        0.445307
BFGS:   32 10:22:31    -3246.998171        0.391183
BFGS:   33 10:22:32    -3247.037511        0.330525
BFGS:   34 10:22:32    -3247.072772        0.392300
BFGS:   35 10:22:33    -3247.105995        0.404601
BFGS:   36 10:22:34    -3247.133750        0.251846
BFGS:   37 10:22:34    -3247.151380        0.206806
BFGS:   38 10:22:35    -3247.161446        0.193164
BFGS:   39 10:22:35    -3247.169750        0.242443
BFGS:   40 10:22:36    -3247.178186        0.199804
BFGS:   41 10:22:37    -3247.185092        0.121824
BFGS:   42 10:22:37    -3247.189795        0.144323
BFGS:   43 10:22:38    -3247.193412        0.137324
BFGS:   44 10:22:38    -3247.197139        0.105558
BFGS:   45 10:22:39    -3247.201092        0.130033
BFGS:   46 10:22:39    -3247.204410        0.116812
BFGS:   47 10:22:40    -3247.206687        0.092896
BFGS:   48 10:22:40    -3247.208393        0.079306
BFGS:   49 10:22:41    -3247.210020        0.089207
BFGS:   50 10:22:41    -3247.211561        0.080701
