      Step     Time          Energy          fmax
BFGS:    0 10:21:31    -2960.169523       10.498004
BFGS:    1 10:21:32    -2965.826375        5.272536
BFGS:    2 10:21:33    -2971.917484        4.039653
BFGS:    3 10:21:34    -2973.765502        9.343112
BFGS:    4 10:21:35    -2976.223125        3.716459
BFGS:    5 10:21:36    -2979.630238        3.797645
BFGS:    6 10:21:37    -2981.892089       11.533526
BFGS:    7 10:21:38    -2983.391003        3.472887
BFGS:    8 10:21:39    -2984.331202        3.812825
BFGS:    9 10:21:40    -2985.285741        6.025730
BFGS:   10 10:21:41    -2986.526497        2.287016
BFGS:   11 10:21:41    -2988.515154        3.111808
BFGS:   12 10:21:42    -2989.392255        3.217753
BFGS:   13 10:21:43    -2990.179419        2.369130
BFGS:   14 10:21:44    -2990.777758        1.741024
BFGS:   15 10:21:44    -2991.079308        1.278250
BFGS:   16 10:21:45    -2991.388931        1.598637
BFGS:   17 10:21:46    -2991.648781        1.273723
BFGS:   18 10:21:46    -2991.872288        1.455202
BFGS:   19 10:21:47    -2992.084674        1.022764
BFGS:   20 10:21:48    -2992.258787        0.760823
BFGS:   21 10:21:48    -2992.388569        0.604967
BFGS:   22 10:21:49    -2992.481624        0.647982
BFGS:   23 10:21:49    -2992.563411        0.644150
BFGS:   24 10:21:50    -2992.633598        0.440619
BFGS:   25 10:21:50    -2992.697418        0.520184
BFGS:   26 10:21:51    -2992.751231        0.507312
BFGS:   27 10:21:51    -2992.795941        0.501473
BFGS:   28 10:21:52    -2992.835020        0.468604
BFGS:   29 10:21:52    -2992.870429        0.337763
BFGS:   30 10:21:53    -2992.901186        0.340977
BFGS:   31 10:21:53    -2992.926043        0.232883
BFGS:   32 10:21:54    -2992.948793        0.320356
BFGS:   33 10:21:54    -2992.974925        0.382479
BFGS:   34 10:21:55    -2993.007931        0.536701
BFGS:   35 10:21:55    -2993.047268        0.505963
BFGS:   36 10:21:56    -2993.087526        0.373223
BFGS:   37 10:21:56    -2993.121740        0.419621
BFGS:   38 10:21:57    -2993.145721        0.292085
BFGS:   39 10:21:57    -2993.160869        0.218680
BFGS:   40 10:21:57    -2993.170926        0.215356
BFGS:   41 10:21:58    -2993.178544        0.196571
BFGS:   42 10:21:58    -2993.184217        0.151867
BFGS:   43 10:21:59    -2993.187548        0.108547
BFGS:   44 10:21:59    -2993.189147        0.068894
BFGS:   45 10:21:59    -2993.190129        0.058286
BFGS:   46 10:22:00    -2993.191034        0.061621
BFGS:   47 10:22:00    -2993.191859        0.046623
BFGS:   48 10:22:00    -2993.192478        0.040265
BFGS:   49 10:22:01    -2993.192909        0.037181
BFGS:   50 10:22:01    -2993.193262        0.036248
