      Step     Time          Energy          fmax
BFGS:    0 10:21:30    -2060.826979        5.298750
BFGS:    1 10:21:30    -2063.630397        4.252426
BFGS:    2 10:21:30    -2070.309271        6.581019
BFGS:    3 10:21:31    -2080.094304        7.596619
BFGS:    4 10:21:31    -2086.875455       13.048646
BFGS:    5 10:21:31    -2088.676312        8.132190
BFGS:    6 10:21:31    -2090.098956        4.822951
BFGS:    7 10:21:32    -2090.666487        6.692376
BFGS:    8 10:21:32    -2091.313676        6.672381
BFGS:    9 10:21:32    -2092.198739        6.060677
BFGS:   10 10:21:32    -2092.808807        3.847241
BFGS:   11 10:21:32    -2093.289554        2.060064
BFGS:   12 10:21:33    -2093.643671        1.661206
BFGS:   13 10:21:33    -2094.101453        2.076760
BFGS:   14 10:21:33    -2094.469104        3.472486
BFGS:   15 10:21:34    -2095.219437        5.025011
BFGS:   16 10:21:34    -2092.856391       12.835953
BFGS:   17 10:21:34    -2096.775173        3.598955
BFGS:   18 10:21:34    -2097.354658        1.939787
BFGS:   19 10:21:35    -2097.937952        1.355484
BFGS:   20 10:21:35    -2098.091420        0.675787
BFGS:   21 10:21:35    -2098.203609        0.820587
BFGS:   22 10:21:35    -2098.257071        0.829402
BFGS:   23 10:21:35    -2098.325993        0.549939
BFGS:   24 10:21:36    -2098.368578        0.607460
BFGS:   25 10:21:36    -2098.414289        0.465842
BFGS:   26 10:21:36    -2098.441294        0.348572
BFGS:   27 10:21:36    -2098.460076        0.244130
BFGS:   28 10:21:36    -2098.477326        0.234087
BFGS:   29 10:21:36    -2098.494067        0.271048
BFGS:   30 10:21:36    -2098.506334        0.278000
BFGS:   31 10:21:37    -2098.515985        0.260446
BFGS:   32 10:21:37    -2098.527162        0.299341
BFGS:   33 10:21:37    -2098.542071        0.344851
BFGS:   34 10:21:37    -2098.560610        0.355951
BFGS:   35 10:21:37    -2098.584162        0.480626
BFGS:   36 10:21:38    -2098.618412        0.548695
BFGS:   37 10:21:38    -2098.675970        0.757053
BFGS:   38 10:21:38    -2098.747352        0.825840
BFGS:   39 10:21:38    -2098.825213        0.697652
BFGS:   40 10:21:38    -2098.957056        0.914573
BFGS:   41 10:21:39    -2099.042562        0.832490
BFGS:   42 10:21:39    -2099.128369        0.884412
BFGS:   43 10:21:39    -2099.196829        1.231051
BFGS:   44 10:21:39    -2099.261891        1.592650
BFGS:   45 10:21:39    -2099.322427        1.600444
BFGS:   46 10:21:39    -2099.383289        1.527222
BFGS:   47 10:21:40    -2099.449253        1.163718
BFGS:   48 10:21:40    -2099.504176        1.031978
BFGS:   49 10:21:40    -2099.584575        1.034221
BFGS:   50 10:21:40    -2099.656873        0.798103
