      Step     Time          Energy          fmax
BFGS:    0 10:21:36    -2060.597732       11.384425
BFGS:    1 10:21:37    -2065.524223        5.102650
BFGS:    2 10:21:37    -2070.944667        6.717223
BFGS:    3 10:21:38    -2077.022107       10.019756
BFGS:    4 10:21:38    -2080.978597       37.235228
BFGS:    5 10:21:38    -2085.438528       14.967690
BFGS:    6 10:21:39    -2087.163410        9.051333
BFGS:    7 10:21:39    -2089.826030        7.398388
BFGS:    8 10:21:39    -2091.131984        8.752340
BFGS:    9 10:21:39    -2092.204600        2.182199
BFGS:   10 10:21:40    -2092.667258        1.890932
BFGS:   11 10:21:40    -2093.133614        1.746738
BFGS:   12 10:21:40    -2093.328534        1.800477
BFGS:   13 10:21:40    -2093.938514        1.460110
BFGS:   14 10:21:41    -2094.123887        1.683954
BFGS:   15 10:21:41    -2094.290260        0.883763
BFGS:   16 10:21:41    -2094.424679        0.730576
BFGS:   17 10:21:41    -2094.542506        1.323842
BFGS:   18 10:21:42    -2094.658465        1.291251
BFGS:   19 10:21:42    -2094.796269        0.950192
BFGS:   20 10:21:42    -2094.901254        0.755444
BFGS:   21 10:21:42    -2095.018592        0.606429
BFGS:   22 10:21:43    -2095.109466        0.634731
BFGS:   23 10:21:43    -2095.209106        0.739599
BFGS:   24 10:21:43    -2095.292052        0.936427
BFGS:   25 10:21:43    -2095.363929        0.697730
BFGS:   26 10:21:44    -2095.458108        1.012680
BFGS:   27 10:21:44    -2095.561205        1.149320
BFGS:   28 10:21:44    -2095.640374        0.916487
BFGS:   29 10:21:44    -2095.753164        0.810665
BFGS:   30 10:21:45    -2095.938180        1.274445
BFGS:   31 10:21:45    -2096.339294        3.365710
BFGS:   32 10:21:45    -2096.858158        1.841987
BFGS:   33 10:21:45    -2097.043431        2.088527
BFGS:   34 10:21:46    -2097.296881        1.672679
BFGS:   35 10:21:46    -2097.504907        1.078570
BFGS:   36 10:21:46    -2097.593417        0.674343
BFGS:   37 10:21:46    -2097.666127        0.611633
BFGS:   38 10:21:46    -2097.703806        0.632461
BFGS:   39 10:21:47    -2097.742211        0.599383
BFGS:   40 10:21:47    -2097.773422        0.345187
BFGS:   41 10:21:47    -2097.802447        0.400589
BFGS:   42 10:21:47    -2097.828105        0.419698
BFGS:   43 10:21:47    -2097.848022        0.289649
BFGS:   44 10:21:48    -2097.861959        0.224742
BFGS:   45 10:21:48    -2097.872520        0.209396
BFGS:   46 10:21:48    -2097.881548        0.195714
BFGS:   47 10:21:48    -2097.889160        0.177171
BFGS:   48 10:21:48    -2097.895869        0.175164
BFGS:   49 10:21:48    -2097.902790        0.157884
BFGS:   50 10:21:49    -2097.910424        0.179738
