      Step     Time          Energy          fmax
BFGS:    0 10:21:43    -2018.206658        7.198307
BFGS:    1 10:21:43    -2021.245120       12.119485
BFGS:    2 10:21:43    -2025.853791        5.542419
BFGS:    3 10:21:44    -2034.729108        8.963884
BFGS:    4 10:21:44    -2038.561991       23.692989
BFGS:    5 10:21:44    -2043.840640       24.201369
BFGS:    6 10:21:45    -2049.656530        4.734339
BFGS:    7 10:21:45    -2052.115226        5.752409
BFGS:    8 10:21:45    -2053.734782        5.243707
BFGS:    9 10:21:46    -2055.109384        5.293908
BFGS:   10 10:21:46    -2055.466766        8.828007
BFGS:   11 10:21:46    -2055.805892        2.765682
BFGS:   12 10:21:46    -2055.988986        2.843154
BFGS:   13 10:21:46    -2056.151482        1.156873
BFGS:   14 10:21:47    -2056.268186        1.232804
BFGS:   15 10:21:47    -2056.613313        1.594904
BFGS:   16 10:21:47    -2056.847701        1.422214
BFGS:   17 10:21:47    -2057.172709        1.498133
BFGS:   18 10:21:47    -2057.424055        1.382819
BFGS:   19 10:21:48    -2057.932609        2.167117
BFGS:   20 10:21:48    -2058.353133        3.654616
BFGS:   21 10:21:48    -2058.746689        5.406379
BFGS:   22 10:21:48    -2059.313931        3.869688
BFGS:   23 10:21:49    -2059.995645        2.668155
BFGS:   24 10:21:49    -2060.388917        3.113352
BFGS:   25 10:21:49    -2060.732653        2.493819
BFGS:   26 10:21:49    -2061.071568        1.610993
BFGS:   27 10:21:49    -2061.204794        1.179449
BFGS:   28 10:21:50    -2061.288598        0.666456
BFGS:   29 10:21:50    -2061.365946        0.938257
BFGS:   30 10:21:50    -2061.438011        0.733134
BFGS:   31 10:21:50    -2061.484257        0.843142
BFGS:   32 10:21:50    -2061.514854        0.697219
BFGS:   33 10:21:50    -2061.545462        0.433651
BFGS:   34 10:21:51    -2061.572102        0.463891
BFGS:   35 10:21:51    -2061.595438        0.345013
BFGS:   36 10:21:51    -2061.610278        0.339066
BFGS:   37 10:21:51    -2061.620385        0.226257
BFGS:   38 10:21:51    -2061.628434        0.296177
BFGS:   39 10:21:51    -2061.637146        0.313510
BFGS:   40 10:21:51    -2061.644954        0.212781
BFGS:   41 10:21:52    -2061.651925        0.191846
BFGS:   42 10:21:52    -2061.658594        0.203292
BFGS:   43 10:21:52    -2061.666688        0.222959
BFGS:   44 10:21:52    -2061.676446        0.239366
BFGS:   45 10:21:52    -2061.686934        0.230373
BFGS:   46 10:21:52    -2061.697142        0.189636
BFGS:   47 10:21:53    -2061.705742        0.174023
BFGS:   48 10:21:53    -2061.711905        0.143366
BFGS:   49 10:21:53    -2061.715856        0.129430
BFGS:   50 10:21:53    -2061.718779        0.132698
