      Step     Time          Energy          fmax
BFGS:    0 10:21:54    -2038.754046        4.982106
BFGS:    1 10:21:54    -2042.086205        4.094468
BFGS:    2 10:21:55    -2046.794479        6.043288
BFGS:    3 10:21:55    -2054.199432        8.390174
BFGS:    4 10:21:56    -2059.735397        8.486934
BFGS:    5 10:21:56    -2061.822963        4.930774
BFGS:    6 10:21:57    -2063.595660        4.907607
BFGS:    7 10:21:57    -2064.995078        3.971115
BFGS:    8 10:21:57    -2065.730011        1.512188
BFGS:    9 10:21:58    -2065.755063        2.809066
BFGS:   10 10:21:58    -2066.014779        1.154047
BFGS:   11 10:21:58    -2066.199727        1.151816
BFGS:   12 10:21:59    -2066.473921        2.175622
BFGS:   13 10:21:59    -2067.079330        3.130870
BFGS:   14 10:22:00    -2067.627238        3.754910
BFGS:   15 10:22:00    -2068.147388        5.229687
BFGS:   16 10:22:01    -2069.866018        3.269140
BFGS:   17 10:22:01    -2070.607357        1.656584
BFGS:   18 10:22:01    -2070.919444        1.296200
BFGS:   19 10:22:02    -2071.058303        0.958874
BFGS:   20 10:22:02    -2071.240789        0.876270
BFGS:   21 10:22:02    -2071.385032        0.907115
BFGS:   22 10:22:03    -2071.489905        0.748970
BFGS:   23 10:22:03    -2071.593456        0.624630
BFGS:   24 10:22:03    -2071.689433        0.557770
BFGS:   25 10:22:04    -2071.760624        0.463317
BFGS:   26 10:22:04    -2071.810338        0.405024
BFGS:   27 10:22:04    -2071.845234        0.252559
BFGS:   28 10:22:05    -2071.862350        0.278832
BFGS:   29 10:22:05    -2071.876155        0.250679
BFGS:   30 10:22:05    -2071.888446        0.240023
BFGS:   31 10:22:05    -2071.903466        0.280617
BFGS:   32 10:22:06    -2071.923063        0.289378
BFGS:   33 10:22:06    -2071.942054        0.314438
BFGS:   34 10:22:06    -2071.959273        0.305683
BFGS:   35 10:22:07    -2071.978006        0.328636
BFGS:   36 10:22:07    -2072.006428        0.302354
BFGS:   37 10:22:07    -2072.049115        0.410240
BFGS:   38 10:22:08    -2072.104421        0.530878
BFGS:   39 10:22:08    -2072.178412        0.717042
BFGS:   40 10:22:08    -2072.256042        1.180284
BFGS:   41 10:22:09    -2072.297572        1.168615
BFGS:   42 10:22:09    -2072.350852        1.115217
BFGS:   43 10:22:09    -2072.417515        1.032780
BFGS:   44 10:22:10    -2072.462419        0.987748
BFGS:   45 10:22:10    -2072.546777        0.854713
BFGS:   46 10:22:10    -2072.604826        0.798602
BFGS:   47 10:22:10    -2072.662301        0.837799
BFGS:   48 10:22:11    -2072.706840        0.769316
BFGS:   49 10:22:11    -2072.743398        0.609577
BFGS:   50 10:22:11    -2072.777504        0.497422
