      Step     Time          Energy          fmax
BFGS:    0 10:21:53    -2266.519456        5.359635
BFGS:    1 10:21:53    -2270.147778        4.113026
BFGS:    2 10:21:54    -2277.138908        6.425732
BFGS:    3 10:21:54    -2286.215063        8.312367
BFGS:    4 10:21:54    -2292.121470        5.824629
BFGS:    5 10:21:55    -2294.760144        6.505509
BFGS:    6 10:21:55    -2293.080581       27.600284
BFGS:    7 10:21:56    -2297.145451        6.480433
BFGS:    8 10:21:56    -2299.221862        2.729693
BFGS:    9 10:21:57    -2300.025329        1.552400
BFGS:   10 10:21:57    -2300.220931        2.567617
BFGS:   11 10:21:57    -2300.354495        1.290896
BFGS:   12 10:21:58    -2300.425756        0.724149
BFGS:   13 10:21:58    -2300.630144        0.710173
BFGS:   14 10:21:58    -2300.882603        1.048462
BFGS:   15 10:21:59    -2301.046250        0.832508
BFGS:   16 10:21:59    -2301.215210        0.775246
BFGS:   17 10:22:00    -2301.420037        1.034070
BFGS:   18 10:22:00    -2301.529201        0.699928
BFGS:   19 10:22:00    -2301.605662        0.491372
BFGS:   20 10:22:01    -2301.649176        0.498509
BFGS:   21 10:22:01    -2301.685474        0.464229
BFGS:   22 10:22:01    -2301.719351        0.515742
BFGS:   23 10:22:01    -2301.761352        0.526078
BFGS:   24 10:22:02    -2301.802101        0.411433
BFGS:   25 10:22:02    -2301.827725        0.299320
BFGS:   26 10:22:02    -2301.838813        0.268812
BFGS:   27 10:22:03    -2301.846539        0.285683
BFGS:   28 10:22:03    -2301.855867        0.278623
BFGS:   29 10:22:03    -2301.870880        0.342489
BFGS:   30 10:22:04    -2301.917349        0.760487
BFGS:   31 10:22:04    -2302.239135        2.806047
BFGS:   32 10:22:04    -2301.001281        8.279268
BFGS:   33 10:22:05    -2302.326695        2.667623
BFGS:   34 10:22:05    -2302.371233        2.580224
BFGS:   35 10:22:05    -2302.414968        2.076190
BFGS:   36 10:22:06    -2302.422283        2.090464
BFGS:   37 10:22:06    -2302.429596        2.141173
BFGS:   38 10:22:06    -2302.434543        2.188457
BFGS:   39 10:22:06    -2302.440264        2.274535
BFGS:   40 10:22:07    -2302.444528        2.328729
BFGS:   41 10:22:07    -2302.448703        2.360902
BFGS:   42 10:22:07    -2302.454026        2.383223
BFGS:   43 10:22:07    -2302.460680        2.388554
BFGS:   44 10:22:08    -2302.466584        2.391004
BFGS:   45 10:22:08    -2302.470762        2.383754
BFGS:   46 10:22:08    -2302.474254        2.389078
BFGS:   47 10:22:09    -2302.478170        2.397980
BFGS:   48 10:22:09    -2302.482402        2.416931
BFGS:   49 10:22:09    -2302.486204        2.427266
BFGS:   50 10:22:09    -2302.489976        2.427583
