      Step     Time          Energy          fmax
BFGS:    0 13:38:30    -2619.180005      430.234252
BFGS:    1 13:38:31    -2704.177780       49.308433
BFGS:    2 13:38:32    -2724.775633       71.646897
BFGS:    3 13:38:33    -2733.475084       42.796585
BFGS:    4 13:38:33    -2740.476824       17.560858
BFGS:    5 13:38:34    -2745.559943        6.397994
BFGS:    6 13:38:35    -2746.696593        3.289098
BFGS:    7 13:38:35    -2747.581843        1.964574
BFGS:    8 13:38:36    -2748.136465        0.920419
BFGS:    9 13:38:36    -2748.404795        0.991094
BFGS:   10 13:38:37    -2748.619858        1.349113
BFGS:   11 13:38:37    -2748.783582        1.728214
BFGS:   12 13:38:38    -2748.944358        1.886129
BFGS:   13 13:38:38    -2749.094675        1.826393
BFGS:   14 13:38:39    -2749.261223        1.559625
BFGS:   15 13:38:39    -2749.449878        1.081577
BFGS:   16 13:38:40    -2749.662450        1.166946
BFGS:   17 13:38:40    -2749.896106        1.255685
BFGS:   18 13:38:41    -2750.084609        1.289519
BFGS:   19 13:38:41    -2750.209196        1.772751
BFGS:   20 13:38:42    -2750.320541        1.940374
BFGS:   21 13:38:42    -2750.429888        1.751918
BFGS:   22 13:38:43    -2750.529994        1.235331
BFGS:   23 13:38:43    -2750.600312        0.872248
BFGS:   24 13:38:44    -2750.633880        0.676778
BFGS:   25 13:38:44    -2750.656834        0.434812
BFGS:   26 13:38:45    -2750.673799        0.316284
BFGS:   27 13:38:45    -2750.687356        0.249083
BFGS:   28 13:38:45    -2750.697513        0.189319
BFGS:   29 13:38:46    -2750.704206        0.233943
BFGS:   30 13:38:46    -2750.708430        0.205223
BFGS:   31 13:38:47    -2750.711246        0.153804
BFGS:   32 13:38:47    -2750.713110        0.166536
BFGS:   33 13:38:47    -2750.714515        0.158985
BFGS:   34 13:38:48    -2750.715621        0.135243
BFGS:   35 13:38:48    -2750.716384        0.102119
BFGS:   36 13:38:48    -2750.716853        0.086725
BFGS:   37 13:38:49    -2750.717172        0.063948
BFGS:   38 13:38:49    -2750.717426        0.033340
BFGS:   39 13:38:49    -2750.717599        0.021578
BFGS:   40 13:38:50    -2750.717686        0.017396
BFGS:   41 13:38:50    -2750.717731        0.019816
BFGS:   42 13:38:50    -2750.717762        0.017206
BFGS:   43 13:38:50    -2750.717786        0.012957
BFGS:   44 13:38:51    -2750.717806        0.009459
