      Step     Time          Energy          fmax
BFGS:    0 12:18:03    -1972.851004        7.254430
BFGS:    1 12:18:03    -1973.826477       12.744354
BFGS:    2 12:18:04    -1975.405355        2.637739
BFGS:    3 12:18:05    -1976.331860        2.278088
BFGS:    4 12:18:05    -1980.196775        3.106628
BFGS:    5 12:18:06    -1983.748025        4.995128
BFGS:    6 12:18:07    -1987.475542        8.297424
BFGS:    7 12:18:08    -1990.506061       15.467898
BFGS:    8 12:18:09    -1997.170921        9.052317
BFGS:    9 12:18:10    -2004.353851        5.903423
BFGS:   10 12:18:11    -2008.509748       16.027591
BFGS:   11 12:18:13    -2006.658854       14.539355
