      Step     Time          Energy          fmax
BFGS:    0 10:22:05    -2468.343385        4.601778
BFGS:    1 10:22:06    -2471.379701        4.021636
BFGS:    2 10:22:06    -2477.155724        4.976558
BFGS:    3 10:22:07    -2483.487560        5.516959
BFGS:    4 10:22:07    -2486.626390       11.081652
BFGS:    5 10:22:08    -2489.139951        4.099072
BFGS:    6 10:22:08    -2492.303065        4.335205
BFGS:    7 10:22:09    -2491.890009       14.745566
BFGS:    8 10:22:09    -2495.403127        5.238221
BFGS:    9 10:22:10    -2496.212650        8.946977
BFGS:   10 10:22:10    -2498.215015        2.619480
BFGS:   11 10:22:10    -2500.557327        5.400647
BFGS:   12 10:22:11    -2502.046771        8.456595
BFGS:   13 10:22:11    -2504.219542        5.295924
BFGS:   14 10:22:12    -2505.808351        5.093554
BFGS:   15 10:22:12    -2507.326512        3.013977
BFGS:   16 10:22:12    -2508.198649        2.355468
BFGS:   17 10:22:13    -2509.085598        3.991127
BFGS:   18 10:22:13    -2509.936071        3.705983
BFGS:   19 10:22:14    -2510.435549        1.711436
BFGS:   20 10:22:14    -2510.667150        1.146576
BFGS:   21 10:22:14    -2510.756429        0.983675
BFGS:   22 10:22:15    -2510.803964        0.704841
BFGS:   23 10:22:15    -2510.838919        0.442780
BFGS:   24 10:22:15    -2510.858580        0.321191
BFGS:   25 10:22:16    -2510.869685        0.424964
BFGS:   26 10:22:16    -2510.876244        0.282464
BFGS:   27 10:22:16    -2510.880518        0.173162
BFGS:   28 10:22:16    -2510.883705        0.139267
BFGS:   29 10:22:17    -2510.886023        0.150012
BFGS:   30 10:22:17    -2510.887707        0.092949
BFGS:   31 10:22:17    -2510.888810        0.073681
BFGS:   32 10:22:17    -2510.889582        0.061957
BFGS:   33 10:22:17    -2510.890236        0.079749
BFGS:   34 10:22:18    -2510.890842        0.049797
BFGS:   35 10:22:18    -2510.891337        0.049521
BFGS:   36 10:22:18    -2510.891725        0.044050
BFGS:   37 10:22:18    -2510.892069        0.048947
BFGS:   38 10:22:18    -2510.892372        0.035662
BFGS:   39 10:22:19    -2510.892607        0.034609
BFGS:   40 10:22:19    -2510.892789        0.026696
BFGS:   41 10:22:19    -2510.892963        0.035695
BFGS:   42 10:22:19    -2510.893158        0.044526
BFGS:   43 10:22:19    -2510.893345        0.034099
BFGS:   44 10:22:19    -2510.893470        0.021115
BFGS:   45 10:22:20    -2510.893547        0.016451
BFGS:   46 10:22:20    -2510.893603        0.020209
BFGS:   47 10:22:20    -2510.893654        0.015564
BFGS:   48 10:22:20    -2510.893698        0.014241
BFGS:   49 10:22:20    -2510.893739        0.013906
BFGS:   50 10:22:20    -2510.893780        0.018500
