      Step     Time          Energy          fmax
BFGS:    0 10:22:42    -3200.184047       13.551364
BFGS:    1 10:22:44    -3209.663850        9.005336
BFGS:    2 10:22:45    -3219.188557        7.664022
BFGS:    3 10:22:46    -3225.893980        5.954296
BFGS:    4 10:22:47    -3230.852233        8.510942
BFGS:    5 10:22:48    -3232.165501       10.855460
BFGS:    6 10:22:49    -3235.684421        3.156092
BFGS:    7 10:22:49    -3236.582508        1.833052
BFGS:    8 10:22:50    -3237.829001        2.865829
BFGS:    9 10:22:51    -3238.367426        1.764510
BFGS:   10 10:22:52    -3239.059684        2.122114
BFGS:   11 10:22:52    -3239.394679        2.387246
BFGS:   12 10:22:53    -3239.762553        1.689622
BFGS:   13 10:22:53    -3240.004312        0.843966
BFGS:   14 10:22:54    -3240.162116        0.515973
BFGS:   15 10:22:55    -3240.271420        0.688389
BFGS:   16 10:22:55    -3240.357732        0.625260
BFGS:   17 10:22:56    -3240.432842        0.441239
BFGS:   18 10:22:56    -3240.482725        0.315581
BFGS:   19 10:22:57    -3240.510027        0.246230
BFGS:   20 10:22:57    -3240.527825        0.213380
BFGS:   21 10:22:58    -3240.547798        0.249787
BFGS:   22 10:22:58    -3240.571761        0.259041
BFGS:   23 10:22:59    -3240.591450        0.218782
BFGS:   24 10:22:59    -3240.604998        0.215559
BFGS:   25 10:23:00    -3240.616214        0.184491
BFGS:   26 10:23:00    -3240.628776        0.201508
BFGS:   27 10:23:00    -3240.643455        0.266273
BFGS:   28 10:23:01    -3240.659283        0.231728
BFGS:   29 10:23:01    -3240.676234        0.225014
BFGS:   30 10:23:02    -3240.695457        0.241787
BFGS:   31 10:23:03    -3240.715429        0.219625
BFGS:   32 10:23:03    -3240.733118        0.200552
BFGS:   33 10:23:04    -3240.747879        0.173989
BFGS:   34 10:23:04    -3240.759680        0.186095
BFGS:   35 10:23:05    -3240.768114        0.153228
BFGS:   36 10:23:05    -3240.773831        0.139074
BFGS:   37 10:23:06    -3240.777688        0.112144
BFGS:   38 10:23:06    -3240.780368        0.084211
BFGS:   39 10:23:07    -3240.782227        0.076000
BFGS:   40 10:23:07    -3240.783481        0.056056
BFGS:   41 10:23:07    -3240.784399        0.043536
BFGS:   42 10:23:08    -3240.785054        0.040523
BFGS:   43 10:23:08    -3240.785468        0.028840
BFGS:   44 10:23:08    -3240.785756        0.028001
BFGS:   45 10:23:09    -3240.786053        0.037184
BFGS:   46 10:23:09    -3240.786404        0.035133
BFGS:   47 10:23:09    -3240.786718        0.024570
BFGS:   48 10:23:10    -3240.786928        0.026061
BFGS:   49 10:23:10    -3240.787084        0.026631
BFGS:   50 10:23:10    -3240.787259        0.023492
