      Step     Time          Energy          fmax
BFGS:    0 10:22:13    -2970.539236        6.488750
BFGS:    1 10:22:14    -2975.598934        5.519725
BFGS:    2 10:22:15    -2982.720706        5.029287
BFGS:    3 10:22:15    -2986.116243       12.319626
BFGS:    4 10:22:16    -2991.842971        7.512103
BFGS:    5 10:22:17    -2995.657112        2.673811
BFGS:    6 10:22:18    -2996.861077        8.970739
BFGS:    7 10:22:19    -2998.542104        2.068695
BFGS:    8 10:22:19    -2999.436544        2.020361
BFGS:    9 10:22:20    -3000.876930        2.814883
BFGS:   10 10:22:21    -3001.848763        2.307873
BFGS:   11 10:22:21    -3002.747167        1.677993
BFGS:   12 10:22:22    -3003.386273        2.316365
BFGS:   13 10:22:23    -3004.133997        2.037351
BFGS:   14 10:22:23    -3004.626516        1.226372
BFGS:   15 10:22:24    -3005.023105        1.220005
BFGS:   16 10:22:25    -3005.365210        1.114612
BFGS:   17 10:22:26    -3005.764589        1.221407
BFGS:   18 10:22:26    -3006.139831        1.016005
BFGS:   19 10:22:27    -3006.395365        1.116276
BFGS:   20 10:22:27    -3006.567705        1.075669
BFGS:   21 10:22:28    -3006.731494        0.833971
BFGS:   22 10:22:28    -3006.902933        0.837693
BFGS:   23 10:22:29    -3007.033811        0.767515
BFGS:   24 10:22:29    -3007.148543        0.821624
BFGS:   25 10:22:30    -3007.227885        0.521550
BFGS:   26 10:22:30    -3007.292527        0.346269
BFGS:   27 10:22:31    -3007.332103        0.268472
BFGS:   28 10:22:31    -3007.352974        0.323989
BFGS:   29 10:22:31    -3007.372638        0.295362
BFGS:   30 10:22:32    -3007.394974        0.260167
BFGS:   31 10:22:32    -3007.418832        0.303895
BFGS:   32 10:22:33    -3007.440318        0.232989
BFGS:   33 10:22:33    -3007.458031        0.250023
BFGS:   34 10:22:33    -3007.474838        0.262677
BFGS:   35 10:22:34    -3007.494247        0.272388
BFGS:   36 10:22:34    -3007.515181        0.224236
BFGS:   37 10:22:35    -3007.532007        0.195661
BFGS:   38 10:22:35    -3007.540593        0.121280
BFGS:   39 10:22:35    -3007.543795        0.066416
BFGS:   40 10:22:36    -3007.545203        0.058578
BFGS:   41 10:22:36    -3007.546087        0.043797
BFGS:   42 10:22:36    -3007.546677        0.036094
BFGS:   43 10:22:36    -3007.547022        0.023184
BFGS:   44 10:22:37    -3007.547225        0.025929
BFGS:   45 10:22:37    -3007.547369        0.024211
BFGS:   46 10:22:37    -3007.547479        0.017519
BFGS:   47 10:22:37    -3007.547556        0.013132
BFGS:   48 10:22:38    -3007.547600        0.014079
BFGS:   49 10:22:38    -3007.547625        0.009567
