      Step     Time          Energy          fmax
BFGS:    0 14:15:42    -3012.952397        6.294115
BFGS:    1 14:15:43    -3017.012324        5.880636
BFGS:    2 14:15:44    -3021.413211        3.434244
BFGS:    3 14:15:46    -3022.166348        3.039234
BFGS:    4 14:15:47    -3022.733109        1.697106
BFGS:    5 14:15:48    -3023.378058        1.526703
BFGS:    6 14:15:49    -3024.687842        2.885015
BFGS:    7 14:15:50    -3027.251713        5.869424
BFGS:    8 14:15:51    -3028.838116       10.242924
BFGS:    9 14:15:52    -3033.059631        6.801715
BFGS:   10 14:15:53    -3037.194516        5.777087
BFGS:   11 14:15:54    -3040.115149        2.945620
BFGS:   12 14:15:55    -3041.717510        7.627218
BFGS:   13 14:15:56    -3044.738825        4.453425
BFGS:   14 14:15:56    -3046.934533        4.777834
BFGS:   15 14:15:57    -3048.331736        2.398311
BFGS:   16 14:15:57    -3048.945633        3.437425
BFGS:   17 14:15:58    -3049.532280        2.009952
BFGS:   18 14:15:58    -3049.992761        2.072308
BFGS:   19 14:15:58    -3050.779743        1.752002
BFGS:   20 14:15:59    -3051.616110        2.254166
BFGS:   21 14:15:59    -3052.479862        2.133398
BFGS:   22 14:16:00    -3053.003303        1.016626
BFGS:   23 14:16:00    -3053.317979        0.835449
BFGS:   24 14:16:01    -3053.497304        1.076102
BFGS:   25 14:16:01    -3053.762124        0.934880
BFGS:   26 14:16:02    -3053.963108        0.763530
BFGS:   27 14:16:02    -3054.155663        0.595511
BFGS:   28 14:16:03    -3054.274957        0.555215
BFGS:   29 14:16:03    -3054.352947        0.413009
BFGS:   30 14:16:04    -3054.423605        0.434414
BFGS:   31 14:16:04    -3054.487818        0.441707
BFGS:   32 14:16:05    -3054.539056        0.327801
BFGS:   33 14:16:05    -3054.586889        0.324362
BFGS:   34 14:16:06    -3054.637682        0.387707
BFGS:   35 14:16:06    -3054.690769        0.323937
BFGS:   36 14:16:07    -3054.737798        0.286403
BFGS:   37 14:16:07    -3054.778958        0.324292
BFGS:   38 14:16:08    -3054.821856        0.307281
BFGS:   39 14:16:08    -3054.868383        0.307219
BFGS:   40 14:16:09    -3054.913496        0.328475
BFGS:   41 14:16:09    -3054.951510        0.306747
BFGS:   42 14:16:09    -3054.979315        0.231346
BFGS:   43 14:16:10    -3054.998059        0.198767
BFGS:   44 14:16:10    -3055.011097        0.169081
BFGS:   45 14:16:11    -3055.020267        0.124574
BFGS:   46 14:16:11    -3055.026834        0.115877
BFGS:   47 14:16:11    -3055.031231        0.112530
BFGS:   48 14:16:12    -3055.033546        0.096798
BFGS:   49 14:16:12    -3055.034632        0.051632
BFGS:   50 14:16:12    -3055.035256        0.055078
BFGS:   51 14:16:13    -3055.035770        0.060468
BFGS:   52 14:16:13    -3055.036364        0.069071
BFGS:   53 14:16:13    -3055.037264        0.084947
BFGS:   54 14:16:14    -3055.038772        0.115023
BFGS:   55 14:16:14    -3055.041299        0.168819
BFGS:   56 14:16:15    -3055.045330        0.251056
BFGS:   57 14:16:16    -3055.051955        0.356392
BFGS:   58 14:16:16    -3055.063128        0.439874
BFGS:   59 14:16:16    -3055.086961        0.467917
BFGS:   60 14:16:17    -3055.132004        0.462331
BFGS:   61 14:16:17    -3055.195276        0.443299
BFGS:   62 14:16:18    -3055.267838        0.377084
BFGS:   63 14:16:18    -3055.304078        0.382133
BFGS:   64 14:16:18    -3055.313680        0.505808
BFGS:   65 14:16:19    -3055.358539        0.301832
BFGS:   66 14:16:19    -3055.382692        0.212611
BFGS:   67 14:16:19    -3055.404485        0.158827
BFGS:   68 14:16:20    -3055.416578        0.146243
BFGS:   69 14:16:20    -3055.427699        0.145988
BFGS:   70 14:16:20    -3055.438149        0.143572
BFGS:   71 14:16:21    -3055.447129        0.166774
BFGS:   72 14:16:21    -3055.453341        0.143253
BFGS:   73 14:16:21    -3055.458318        0.097383
BFGS:   74 14:16:22    -3055.462869        0.092113
BFGS:   75 14:16:22    -3055.466667        0.073663
BFGS:   76 14:16:22    -3055.469370        0.082702
BFGS:   77 14:16:23    -3055.471230        0.074408
BFGS:   78 14:16:23    -3055.472457        0.053620
BFGS:   79 14:16:23    -3055.473205        0.046865
BFGS:   80 14:16:23    -3055.473749        0.042125
BFGS:   81 14:16:24    -3055.474280        0.037419
BFGS:   82 14:16:24    -3055.474739        0.026393
BFGS:   83 14:16:24    -3055.475000        0.020416
BFGS:   84 14:16:24    -3055.475119        0.017923
BFGS:   85 14:16:24    -3055.475198        0.016501
BFGS:   86 14:16:25    -3055.475279        0.014295
BFGS:   87 14:16:25    -3055.475353        0.012463
BFGS:   88 14:16:25    -3055.475412        0.014053
BFGS:   89 14:16:25    -3055.475455        0.012549
BFGS:   90 14:16:25    -3055.475483        0.011334
BFGS:   91 14:16:26    -3055.475499        0.009870
