      Step     Time          Energy          fmax
BFGS:    0 10:22:22    -2024.051930        5.240540
BFGS:    1 10:22:22    -2027.405430        5.677639
BFGS:    2 10:22:23    -2034.983576        8.027637
BFGS:    3 10:22:23    -2044.651488        8.326458
BFGS:    4 10:22:23    -2049.735721        7.685464
BFGS:    5 10:22:23    -2053.857051       12.603991
BFGS:    6 10:22:24    -2055.748475        5.059129
BFGS:    7 10:22:24    -2057.186250        5.089100
BFGS:    8 10:22:24    -2057.993153        2.318715
BFGS:    9 10:22:24    -2058.376025        2.302144
BFGS:   10 10:22:24    -2058.556041        0.823188
BFGS:   11 10:22:25    -2058.628684        0.953978
BFGS:   12 10:22:25    -2058.718444        1.388953
BFGS:   13 10:22:25    -2058.835981        1.568538
BFGS:   14 10:22:25    -2058.964003        1.219530
BFGS:   15 10:22:25    -2059.061167        0.590855
BFGS:   16 10:22:25    -2059.121470        0.533222
BFGS:   17 10:22:25    -2059.191192        0.758281
BFGS:   18 10:22:26    -2059.261917        0.744236
BFGS:   19 10:22:26    -2059.312105        0.444667
BFGS:   20 10:22:26    -2059.347595        0.389094
BFGS:   21 10:22:26    -2059.374706        0.380065
BFGS:   22 10:22:26    -2059.404063        0.582753
BFGS:   23 10:22:26    -2059.432328        0.511696
BFGS:   24 10:22:27    -2059.454531        0.271535
BFGS:   25 10:22:27    -2059.471470        0.219836
BFGS:   26 10:22:27    -2059.485636        0.219797
BFGS:   27 10:22:27    -2059.498784        0.256313
BFGS:   28 10:22:27    -2059.511863        0.264563
BFGS:   29 10:22:27    -2059.526374        0.298938
BFGS:   30 10:22:27    -2059.545726        0.328298
BFGS:   31 10:22:28    -2059.575576        0.334925
BFGS:   32 10:22:28    -2059.613658        0.390504
BFGS:   33 10:22:28    -2059.648383        0.385019
BFGS:   34 10:22:28    -2059.677559        0.441107
BFGS:   35 10:22:28    -2059.703001        0.452281
BFGS:   36 10:22:28    -2059.734921        0.499465
BFGS:   37 10:22:29    -2059.774124        0.729988
BFGS:   38 10:22:29    -2059.810656        0.726021
BFGS:   39 10:22:29    -2059.835822        0.338538
BFGS:   40 10:22:29    -2059.846063        0.194274
BFGS:   41 10:22:29    -2059.852079        0.264677
BFGS:   42 10:22:29    -2059.859056        0.335226
BFGS:   43 10:22:30    -2059.864638        0.357499
BFGS:   44 10:22:30    -2059.869762        0.227106
BFGS:   45 10:22:30    -2059.873944        0.088800
BFGS:   46 10:22:30    -2059.876076        0.133011
BFGS:   47 10:22:30    -2059.878437        0.154368
BFGS:   48 10:22:30    -2059.881381        0.121278
BFGS:   49 10:22:30    -2059.885180        0.097924
BFGS:   50 10:22:31    -2059.888551        0.085405
