      Step     Time          Energy          fmax
BFGS:    0 10:22:32    -1829.328102       14.315591
BFGS:    1 10:22:32    -1835.000680       11.600924
BFGS:    2 10:22:33    -1840.071396        7.996006
BFGS:    3 10:22:33    -1845.700611       11.483542
BFGS:    4 10:22:33    -1850.318607       30.205741
BFGS:    5 10:22:33    -1849.498306       46.101110
BFGS:    6 10:22:34    -1859.891552        6.414020
BFGS:    7 10:22:34    -1861.119372        4.359591
BFGS:    8 10:22:35    -1862.454295        6.211245
BFGS:    9 10:22:35    -1863.648833        3.410561
BFGS:   10 10:22:35    -1864.377184        2.988254
BFGS:   11 10:22:36    -1864.790211        2.647154
BFGS:   12 10:22:36    -1865.256816        4.298612
BFGS:   13 10:22:36    -1866.292107        2.971217
BFGS:   14 10:22:37    -1867.095546        3.079831
BFGS:   15 10:22:37    -1867.398080        3.572139
BFGS:   16 10:22:37    -1867.877929        1.864539
