      Step     Time          Energy          fmax
BFGS:    0 10:22:31    -1917.569325       14.057631
BFGS:    1 10:22:32    -1926.173031       11.982561
BFGS:    2 10:22:32    -1932.023131        8.130144
BFGS:    3 10:22:32    -1938.757431        8.981081
BFGS:    4 10:22:33    -1943.786347       19.276896
BFGS:    5 10:22:33    -1946.322489       28.211574
BFGS:    6 10:22:33    -1948.486291       17.983022
BFGS:    7 10:22:33    -1952.041355        6.016815
BFGS:    8 10:22:33    -1953.692584        5.199764
BFGS:    9 10:22:34    -1955.041760        2.219692
BFGS:   10 10:22:34    -1955.746987        6.018337
BFGS:   11 10:22:34    -1956.001227       11.571919
BFGS:   12 10:22:34    -1956.873194        2.103704
BFGS:   13 10:22:34    -1957.125359        1.083492
BFGS:   14 10:22:35    -1957.673535        2.028974
BFGS:   15 10:22:35    -1958.122880        1.727435
BFGS:   16 10:22:35    -1958.448761        1.737726
BFGS:   17 10:22:35    -1958.917802        1.637746
BFGS:   18 10:22:35    -1959.265140        3.157968
BFGS:   19 10:22:35    -1959.490633        1.841063
BFGS:   20 10:22:36    -1959.847970        1.575489
BFGS:   21 10:22:36    -1960.105568        0.842277
BFGS:   22 10:22:36    -1960.327513        1.347823
BFGS:   23 10:22:36    -1960.546414        0.953417
BFGS:   24 10:22:36    -1960.638290        0.531624
BFGS:   25 10:22:36    -1960.688150        0.363936
BFGS:   26 10:22:37    -1960.708167        0.355653
BFGS:   27 10:22:37    -1960.731258        0.276457
BFGS:   28 10:22:37    -1960.744309        0.194505
BFGS:   29 10:22:37    -1960.758576        0.312564
BFGS:   30 10:22:37    -1960.778008        0.451944
BFGS:   31 10:22:37    -1960.800182        0.445546
BFGS:   32 10:22:37    -1960.819364        0.360609
BFGS:   33 10:22:38    -1960.838868        0.297017
BFGS:   34 10:22:38    -1960.867265        0.558193
BFGS:   35 10:22:38    -1960.911259        0.731367
BFGS:   36 10:22:38    -1960.964083        0.754746
BFGS:   37 10:22:38    -1961.011176        0.642608
BFGS:   38 10:22:38    -1961.046462        0.430728
BFGS:   39 10:22:38    -1961.075674        0.533318
BFGS:   40 10:22:39    -1961.116880        0.652453
BFGS:   41 10:22:39    -1961.165349        0.835154
BFGS:   42 10:22:39    -1961.208541        0.777292
BFGS:   43 10:22:39    -1961.244550        0.469681
BFGS:   44 10:22:39    -1961.278068        0.551498
BFGS:   45 10:22:39    -1961.304479        0.385999
BFGS:   46 10:22:39    -1961.324754        0.383268
BFGS:   47 10:22:40    -1961.338776        0.337019
BFGS:   48 10:22:40    -1961.350914        0.374979
BFGS:   49 10:22:40    -1961.361572        0.300616
BFGS:   50 10:22:40    -1961.369467        0.205638
