      Step     Time          Energy          fmax
BFGS:    0 10:22:37    -1969.171542        5.214826
BFGS:    1 10:22:38    -1972.679388        5.384632
BFGS:    2 10:22:38    -1979.319185        7.882028
BFGS:    3 10:22:38    -1986.049587        7.843090
BFGS:    4 10:22:39    -1985.624030       25.820789
BFGS:    5 10:22:39    -1990.307601        6.912546
BFGS:    6 10:22:39    -1991.553747        5.130862
BFGS:    7 10:22:40    -1992.920450        4.619277
BFGS:    8 10:22:40    -1995.148374        6.339179
BFGS:    9 10:22:40    -1996.562663        2.538145
BFGS:   10 10:22:41    -1997.634967        2.988460
BFGS:   11 10:22:41    -1999.704421        3.158781
BFGS:   12 10:22:42    -2000.293149        4.991192
BFGS:   13 10:22:42    -2001.064111        2.139257
BFGS:   14 10:22:42    -2001.498776        1.436930
BFGS:   15 10:22:42    -2001.793648        0.743939
BFGS:   16 10:22:43    -2001.852616        0.502843
BFGS:   17 10:22:43    -2001.946410        0.352327
BFGS:   18 10:22:43    -2001.980218        0.339301
BFGS:   19 10:22:43    -2002.006660        0.336335
BFGS:   20 10:22:44    -2002.034019        0.360229
BFGS:   21 10:22:44    -2002.058880        0.266150
BFGS:   22 10:22:44    -2002.079836        0.291857
BFGS:   23 10:22:45    -2002.102872        0.369969
BFGS:   24 10:22:45    -2002.136406        0.534332
BFGS:   25 10:22:45    -2002.186897        0.573058
BFGS:   26 10:22:46    -2002.202389        0.746486
BFGS:   27 10:22:46    -2002.269691        0.536183
BFGS:   28 10:22:46    -2002.305279        0.592015
BFGS:   29 10:22:46    -2002.374124        0.507761
BFGS:   30 10:22:47    -2002.397452        0.489666
BFGS:   31 10:22:47    -2002.436082        0.318976
BFGS:   32 10:22:47    -2002.453552        0.253436
BFGS:   33 10:22:47    -2002.470980        0.233995
BFGS:   34 10:22:48    -2002.488144        0.257172
BFGS:   35 10:22:48    -2002.510795        0.304791
BFGS:   36 10:22:48    -2002.535340        0.349226
BFGS:   37 10:22:48    -2002.562079        0.361805
BFGS:   38 10:22:49    -2002.592967        0.371383
BFGS:   39 10:22:49    -2002.633287        0.573627
BFGS:   40 10:22:49    -2002.679124        0.645373
BFGS:   41 10:22:49    -2002.728470        0.535195
BFGS:   42 10:22:50    -2002.767245        0.443841
BFGS:   43 10:22:50    -2002.790541        0.267505
BFGS:   44 10:22:50    -2002.803826        0.170091
BFGS:   45 10:22:50    -2002.814258        0.180324
BFGS:   46 10:22:50    -2002.825222        0.224186
BFGS:   47 10:22:51    -2002.835665        0.229458
BFGS:   48 10:22:51    -2002.844150        0.184670
BFGS:   49 10:22:51    -2002.850922        0.139274
BFGS:   50 10:22:51    -2002.857683        0.175917
