      Step     Time          Energy          fmax
BFGS:    0 10:22:35    -2061.658901        5.252612
BFGS:    1 10:22:35    -2065.327652        5.461807
BFGS:    2 10:22:35    -2073.035506        7.912948
BFGS:    3 10:22:36    -2080.864238        8.119906
BFGS:    4 10:22:36    -2080.589749       27.624701
BFGS:    5 10:22:37    -2084.729610        6.802091
BFGS:    6 10:22:37    -2086.065433        6.093350
BFGS:    7 10:22:38    -2087.768539        5.845178
BFGS:    8 10:22:38    -2089.172209        7.607394
BFGS:    9 10:22:38    -2090.247965        3.518871
BFGS:   10 10:22:39    -2091.516241        3.353711
BFGS:   11 10:22:39    -2092.594054        3.300063
BFGS:   12 10:22:39    -2093.658605        4.291257
BFGS:   13 10:22:40    -2094.755360        4.424067
BFGS:   14 10:22:40    -2095.893398        4.042535
BFGS:   15 10:22:40    -2095.915299        9.697197
BFGS:   16 10:22:41    -2096.648503        3.256269
BFGS:   17 10:22:41    -2096.989290        1.927025
BFGS:   18 10:22:41    -2097.298615        2.026802
BFGS:   19 10:22:42    -2097.645350        4.239476
BFGS:   20 10:22:42    -2098.319594        6.004874
BFGS:   21 10:22:42    -2098.843243        6.468461
BFGS:   22 10:22:43    -2099.534810        3.056250
BFGS:   23 10:22:43    -2100.316975        1.576177
BFGS:   24 10:22:43    -2100.720758        1.289198
BFGS:   25 10:22:43    -2100.905075        1.308550
BFGS:   26 10:22:44    -2101.088906        1.066379
BFGS:   27 10:22:44    -2101.206029        0.863838
BFGS:   28 10:22:44    -2101.296445        0.808430
BFGS:   29 10:22:44    -2101.364908        0.627717
BFGS:   30 10:22:45    -2101.408651        0.438918
BFGS:   31 10:22:45    -2101.445128        0.329433
BFGS:   32 10:22:45    -2101.488707        0.384511
BFGS:   33 10:22:45    -2101.543222        0.577413
BFGS:   34 10:22:46    -2101.623396        1.024689
BFGS:   35 10:22:46    -2101.831057        2.496198
BFGS:   36 10:22:46    -2101.789184        3.583144
BFGS:   37 10:22:47    -2102.206841        2.962331
BFGS:   38 10:22:47    -2102.676346        2.959639
BFGS:   39 10:22:47    -2103.571680        2.126121
BFGS:   40 10:22:48    -2104.021347        1.099220
BFGS:   41 10:22:48    -2104.200133        0.850366
BFGS:   42 10:22:48    -2104.391256        0.684585
BFGS:   43 10:22:48    -2104.468625        0.642115
BFGS:   44 10:22:49    -2104.557220        0.570626
BFGS:   45 10:22:49    -2104.622697        0.584514
BFGS:   46 10:22:49    -2104.679691        0.408286
BFGS:   47 10:22:49    -2104.721471        0.407707
BFGS:   48 10:22:50    -2104.748165        0.287365
BFGS:   49 10:22:50    -2104.769795        0.304006
BFGS:   50 10:22:50    -2104.789664        0.300271
