      Step     Time          Energy          fmax
BFGS:    0 10:22:36    -2081.109849        5.257179
BFGS:    1 10:22:37    -2084.851499        5.411214
BFGS:    2 10:22:37    -2092.411397        7.874121
BFGS:    3 10:22:38    -2100.104759        7.898290
BFGS:    4 10:22:38    -2100.455482       26.754735
BFGS:    5 10:22:38    -2104.984604        5.990897
BFGS:    6 10:22:39    -2105.881923        6.063500
BFGS:    7 10:22:39    -2107.165477        4.604300
BFGS:    8 10:22:39    -2109.001679        4.668884
BFGS:    9 10:22:40    -2109.955193        4.467859
BFGS:   10 10:22:40    -2111.370254        3.135354
BFGS:   11 10:22:41    -2112.426242        3.038850
BFGS:   12 10:22:41    -2113.346009        5.125350
BFGS:   13 10:22:41    -2113.905012        3.377653
BFGS:   14 10:22:42    -2114.408732        1.762219
BFGS:   15 10:22:42    -2114.708807        2.412734
BFGS:   16 10:22:42    -2114.893521        1.807410
BFGS:   17 10:22:43    -2115.100881        1.390351
BFGS:   18 10:22:43    -2115.218249        1.219599
BFGS:   19 10:22:43    -2115.308850        1.094923
BFGS:   20 10:22:43    -2115.374170        0.765409
BFGS:   21 10:22:44    -2115.434975        0.554665
BFGS:   22 10:22:44    -2115.474659        0.513000
BFGS:   23 10:22:44    -2115.513247        0.505099
BFGS:   24 10:22:45    -2115.555462        0.743343
BFGS:   25 10:22:45    -2115.597139        0.611534
BFGS:   26 10:22:45    -2115.638147        0.567863
BFGS:   27 10:22:45    -2115.684442        0.597811
BFGS:   28 10:22:46    -2115.743058        0.784059
BFGS:   29 10:22:46    -2115.841450        1.175357
BFGS:   30 10:22:46    -2115.949486        1.776058
BFGS:   31 10:22:47    -2116.038558        2.065153
BFGS:   32 10:22:47    -2116.192677        2.124802
BFGS:   33 10:22:47    -2115.166294       11.592342
BFGS:   34 10:22:48    -2116.365063        1.757411
BFGS:   35 10:22:48    -2116.447975        1.438270
BFGS:   36 10:22:48    -2116.563024        1.482975
BFGS:   37 10:22:49    -2116.612472        0.331900
BFGS:   38 10:22:49    -2116.644490        0.248483
BFGS:   39 10:22:49    -2116.706719        0.434260
BFGS:   40 10:22:49    -2116.721315        0.307897
BFGS:   41 10:22:50    -2116.750524        0.379710
BFGS:   42 10:22:50    -2116.771626        0.486935
BFGS:   43 10:22:50    -2116.801680        0.556118
BFGS:   44 10:22:50    -2116.827400        0.426995
BFGS:   45 10:22:51    -2116.859929        0.650044
BFGS:   46 10:22:51    -2116.930278        1.276122
BFGS:   47 10:22:51    -2117.068803        2.523411
BFGS:   48 10:22:52    -2117.077328        3.373408
BFGS:   49 10:22:52    -2117.245414        2.878545
BFGS:   50 10:22:52    -2117.472113        2.631240
