      Step     Time          Energy          fmax
BFGS:    0 10:22:36    -2168.558184       13.818157
BFGS:    1 10:22:36    -2174.933957        6.126342
BFGS:    2 10:22:37    -2181.037280        7.690668
BFGS:    3 10:22:37    -2187.655175       12.220535
BFGS:    4 10:22:38    -2192.122250       31.150643
BFGS:    5 10:22:38    -2195.647053       20.787760
BFGS:    6 10:22:38    -2199.799606        7.391662
BFGS:    7 10:22:39    -2201.085937        5.776039
BFGS:    8 10:22:39    -2202.602045        3.078462
BFGS:    9 10:22:40    -2203.234317        2.258939
BFGS:   10 10:22:40    -2203.705949        1.554764
BFGS:   11 10:22:40    -2203.918977        1.349538
BFGS:   12 10:22:41    -2204.128842        1.161400
BFGS:   13 10:22:41    -2204.327833        1.487897
BFGS:   14 10:22:41    -2204.612201        1.594582
BFGS:   15 10:22:42    -2204.877643        1.380587
BFGS:   16 10:22:42    -2205.099910        1.112706
BFGS:   17 10:22:42    -2205.356510        1.193049
BFGS:   18 10:22:43    -2205.512455        1.113254
BFGS:   19 10:22:43    -2205.638061        1.430250
BFGS:   20 10:22:43    -2205.700835        0.750986
BFGS:   21 10:22:44    -2205.782693        0.733749
BFGS:   22 10:22:44    -2205.871047        0.541384
BFGS:   23 10:22:44    -2205.912137        0.471143
BFGS:   24 10:22:45    -2205.950012        0.306180
BFGS:   25 10:22:45    -2205.968464        0.354473
BFGS:   26 10:22:45    -2205.988635        0.312170
BFGS:   27 10:22:45    -2206.005152        0.283523
BFGS:   28 10:22:46    -2206.022107        0.292380
BFGS:   29 10:22:46    -2206.041413        0.319409
BFGS:   30 10:22:46    -2206.068948        0.368774
BFGS:   31 10:22:47    -2206.102048        0.421544
BFGS:   32 10:22:47    -2206.133997        0.435829
BFGS:   33 10:22:47    -2206.159422        0.401028
BFGS:   34 10:22:47    -2206.182049        0.402724
BFGS:   35 10:22:48    -2206.204121        0.312427
BFGS:   36 10:22:48    -2206.222727        0.297130
BFGS:   37 10:22:48    -2206.236680        0.273378
BFGS:   38 10:22:49    -2206.247575        0.218226
BFGS:   39 10:22:49    -2206.256124        0.191238
BFGS:   40 10:22:49    -2206.262338        0.170376
BFGS:   41 10:22:49    -2206.267354        0.147134
BFGS:   42 10:22:50    -2206.272461        0.179882
BFGS:   43 10:22:50    -2206.278913        0.170839
BFGS:   44 10:22:50    -2206.286685        0.186269
BFGS:   45 10:22:50    -2206.294618        0.198700
BFGS:   46 10:22:51    -2206.302783        0.185734
BFGS:   47 10:22:51    -2206.313656        0.238215
BFGS:   48 10:22:51    -2206.331791        0.326859
BFGS:   49 10:22:52    -2206.367923        0.484075
BFGS:   50 10:22:52    -2206.459069        1.116999
