      Step     Time          Energy          fmax
BFGS:    0 12:18:45    -2016.469925        3.949575
BFGS:    1 12:18:46    -2018.306325        2.041432
BFGS:    2 12:18:47    -2019.190868        2.520070
BFGS:    3 12:18:47    -2019.816484        1.310898
BFGS:    4 12:18:48    -2020.442543        1.302153
BFGS:    5 12:18:49    -2020.775572        1.568312
BFGS:    6 12:18:50    -2021.201320        1.643124
BFGS:    7 12:18:50    -2021.607159        1.761233
BFGS:    8 12:18:51    -2022.053715        2.313724
BFGS:    9 12:18:52    -2022.979884        4.484650
BFGS:   10 12:18:53    -2024.205040        8.006972
BFGS:   11 12:18:54    -2029.083582        8.274066
BFGS:   12 12:18:55    -2033.254636        6.177244
BFGS:   13 12:18:56    -2034.354445        4.835165
BFGS:   14 12:18:57    -2035.193270        4.150335
BFGS:   15 12:18:57    -2035.674766        2.528131
BFGS:   16 12:18:58    -2036.211941        2.128086
BFGS:   17 12:18:59    -2037.485710        2.646214
BFGS:   18 12:18:59    -2038.819125        5.255772
BFGS:   19 12:19:00    -2040.194761        7.530628
BFGS:   20 12:19:01    -2041.643700        8.592986
BFGS:   21 12:19:01    -2041.740866        8.716480
BFGS:   22 12:19:02    -2042.757574        8.789308
BFGS:   23 12:19:02    -2043.878514        8.437761
BFGS:   24 12:19:03    -2045.079522        8.373750
BFGS:   25 12:19:04    -2045.915267        6.207555
BFGS:   26 12:19:04    -2046.384847        4.902744
BFGS:   27 12:19:05    -2047.181759        6.538579
BFGS:   28 12:19:05    -2047.775605        4.916126
BFGS:   29 12:19:06    -2048.519229        5.769117
BFGS:   30 12:19:07    -2048.985206        6.208960
BFGS:   31 12:19:07    -2049.889770        6.980223
BFGS:   32 12:19:08    -2050.724520        7.352609
BFGS:   33 12:19:08    -2051.648106        7.310748
BFGS:   34 12:19:09    -2052.731522        6.912087
BFGS:   35 12:19:09    -2053.697612        6.126337
BFGS:   36 12:19:10    -2054.707805        4.252881
BFGS:   37 12:19:11    -2055.426793        5.069967
BFGS:   38 12:19:11    -2055.880575        3.780034
BFGS:   39 12:19:12    -2056.186629        4.759363
BFGS:   40 12:19:12    -2056.552498        4.330547
BFGS:   41 12:19:13    -2057.268745        3.202980
BFGS:   42 12:19:13    -2057.728334        2.894301
BFGS:   43 12:19:14    -2058.054592        1.948195
BFGS:   44 12:19:14    -2058.209399        1.731616
BFGS:   45 12:19:15    -2058.311348        1.602028
BFGS:   46 12:19:15    -2058.446976        1.711961
BFGS:   47 12:19:15    -2058.560597        1.644199
BFGS:   48 12:19:16    -2058.674411        1.344410
BFGS:   49 12:19:16    -2058.789387        1.008493
BFGS:   50 12:19:16    -2058.905979        0.880049
BFGS:   51 12:19:17    -2059.009268        0.782234
BFGS:   52 12:19:17    -2059.101908        0.788975
BFGS:   53 12:19:18    -2059.182501        0.759828
BFGS:   54 12:19:18    -2059.245058        0.918946
BFGS:   55 12:19:18    -2059.323009        0.858632
BFGS:   56 12:19:19    -2059.366136        0.720148
BFGS:   57 12:19:19    -2059.413176        0.459984
BFGS:   58 12:19:19    -2059.455137        0.514823
BFGS:   59 12:19:20    -2059.511681        0.596356
