      Step     Time          Energy          fmax
BFGS:    0 14:24:07    -3069.552959       12.592978
BFGS:    1 14:24:08    -3074.389507        4.443991
BFGS:    2 14:24:09    -3076.478459        2.297832
BFGS:    3 14:24:09    -3076.891235        1.548444
BFGS:    4 14:24:10    -3077.118522        0.990107
BFGS:    5 14:24:11    -3077.268332        0.948702
BFGS:    6 14:24:12    -3077.403831        0.587518
BFGS:    7 14:24:13    -3077.466854        0.384574
BFGS:    8 14:24:13    -3077.506976        0.293999
BFGS:    9 14:24:14    -3077.523290        0.165603
BFGS:   10 14:24:14    -3077.535436        0.228368
BFGS:   11 14:24:15    -3077.546223        0.214024
BFGS:   12 14:24:16    -3077.557115        0.174657
BFGS:   13 14:24:16    -3077.568632        0.218898
BFGS:   14 14:24:17    -3077.582352        0.268705
BFGS:   15 14:24:17    -3077.596526        0.312365
BFGS:   16 14:24:18    -3077.607613        0.199318
BFGS:   17 14:24:19    -3077.614428        0.180781
BFGS:   18 14:24:19    -3077.619549        0.201637
BFGS:   19 14:24:20    -3077.625146        0.201341
BFGS:   20 14:24:20    -3077.631821        0.249946
BFGS:   21 14:24:21    -3077.639936        0.395392
BFGS:   22 14:24:21    -3077.652473        0.648311
BFGS:   23 14:24:22    -3077.677364        1.080327
BFGS:   24 14:24:23    -3077.714818        1.333696
BFGS:   25 14:24:24    -3077.810085        1.544765
BFGS:   26 14:24:24    -3077.932213        1.517103
BFGS:   27 14:24:25    -3078.099811        1.773725
BFGS:   28 14:24:26    -3078.444438        1.448839
BFGS:   29 14:24:26    -3078.743266        0.860917
BFGS:   30 14:24:27    -3079.007622        0.991374
BFGS:   31 14:24:27    -3079.160016        1.113660
BFGS:   32 14:24:28    -3079.323244        0.873163
BFGS:   33 14:24:28    -3079.508958        0.710843
BFGS:   34 14:24:29    -3079.644840        0.581302
BFGS:   35 14:24:29    -3079.737149        0.610008
BFGS:   36 14:24:30    -3079.817659        0.523943
BFGS:   37 14:24:30    -3079.887143        0.399530
BFGS:   38 14:24:31    -3079.952927        0.392751
BFGS:   39 14:24:31    -3080.010845        0.509977
BFGS:   40 14:24:32    -3080.065612        0.568886
BFGS:   41 14:24:32    -3080.113267        0.659570
BFGS:   42 14:24:32    -3080.152240        0.791012
BFGS:   43 14:24:33    -3080.197416        0.934427
BFGS:   44 14:24:33    -3080.275485        1.102898
BFGS:   45 14:24:34    -3080.376251        1.091859
BFGS:   46 14:24:35    -3080.506759        0.840382
BFGS:   47 14:24:35    -3080.692165        0.686317
BFGS:   48 14:24:36    -3080.822301        0.635735
BFGS:   49 14:24:36    -3080.903780        0.605663
BFGS:   50 14:24:37    -3080.982629        0.387020
BFGS:   51 14:24:37    -3081.029841        0.336588
BFGS:   52 14:24:37    -3081.056335        0.251027
BFGS:   53 14:24:38    -3081.073428        0.233042
BFGS:   54 14:24:38    -3081.087290        0.206232
BFGS:   55 14:24:39    -3081.099351        0.220606
BFGS:   56 14:24:39    -3081.109475        0.154120
BFGS:   57 14:24:40    -3081.116850        0.137573
BFGS:   58 14:24:40    -3081.121674        0.124551
BFGS:   59 14:24:40    -3081.124863        0.100715
BFGS:   60 14:24:41    -3081.127536        0.093146
BFGS:   61 14:24:41    -3081.130029        0.098027
BFGS:   62 14:24:42    -3081.131913        0.090409
BFGS:   63 14:24:42    -3081.133060        0.059713
BFGS:   64 14:24:42    -3081.133824        0.059401
BFGS:   65 14:24:43    -3081.134529        0.049073
BFGS:   66 14:24:43    -3081.135183        0.055660
BFGS:   67 14:24:43    -3081.135692        0.043023
BFGS:   68 14:24:44    -3081.136066        0.032623
BFGS:   69 14:24:44    -3081.136355        0.025575
BFGS:   70 14:24:44    -3081.136545        0.016478
BFGS:   71 14:24:45    -3081.136636        0.011566
BFGS:   72 14:24:45    -3081.136682        0.011378
BFGS:   73 14:24:45    -3081.136723        0.011332
BFGS:   74 14:24:45    -3081.136768        0.011006
BFGS:   75 14:24:46    -3081.136810        0.010015
BFGS:   76 14:24:46    -3081.136844        0.010855
BFGS:   77 14:24:46    -3081.136876        0.009647
