      Step     Time          Energy          fmax
BFGS:    0 14:18:44    -3620.029250      311.292996
BFGS:    1 14:18:45    -3688.083787       36.876888
BFGS:    2 14:18:48    -3696.766869       78.107543
BFGS:    3 14:18:49    -3708.183556       31.604484
BFGS:    4 14:18:51    -3712.027086       13.117904
BFGS:    5 14:18:53    -3713.729095        6.718712
BFGS:    6 14:18:55    -3715.893273        5.621565
BFGS:    7 14:18:56    -3717.671240        3.587924
BFGS:    8 14:18:58    -3718.599848        4.466275
BFGS:    9 14:18:59    -3719.399937        4.735712
BFGS:   10 14:19:01    -3720.595596        4.558709
BFGS:   11 14:19:02    -3721.565103        4.821592
BFGS:   12 14:19:04    -3722.207250        4.534282
BFGS:   13 14:19:05    -3722.689873        3.957667
BFGS:   14 14:19:06    -3723.107321        3.355648
BFGS:   15 14:19:07    -3723.507325        3.024808
BFGS:   16 14:19:09    -3723.818650        2.643421
BFGS:   17 14:19:10    -3724.088268        2.177496
BFGS:   18 14:19:11    -3724.338853        1.520053
BFGS:   19 14:19:12    -3724.597083        0.879455
BFGS:   20 14:19:14    -3724.846619        0.796894
BFGS:   21 14:19:15    -3725.064534        1.559195
BFGS:   22 14:19:16    -3725.287724        2.271820
BFGS:   23 14:19:17    -3725.548349        2.849639
BFGS:   24 14:19:18    -3725.812414        3.229038
BFGS:   25 14:19:19    -3726.060810        2.214252
BFGS:   26 14:19:20    -3726.285972        1.920852
BFGS:   27 14:19:21    -3726.417890        0.966430
BFGS:   28 14:19:22    -3726.544727        0.842494
BFGS:   29 14:19:22    -3726.671128        0.679075
BFGS:   30 14:19:23    -3726.765849        0.740588
BFGS:   31 14:19:24    -3726.870411        0.696248
BFGS:   32 14:19:25    -3726.978060        0.966976
BFGS:   33 14:19:26    -3727.096637        0.864465
BFGS:   34 14:19:26    -3727.203355        0.869146
BFGS:   35 14:19:27    -3727.319616        0.824021
BFGS:   36 14:19:28    -3727.439290        0.708955
BFGS:   37 14:19:29    -3727.558576        0.889159
BFGS:   38 14:19:30    -3727.666285        0.768102
BFGS:   39 14:19:30    -3727.747830        0.778146
BFGS:   40 14:19:31    -3727.811371        0.810188
BFGS:   41 14:19:32    -3727.875036        0.729282
BFGS:   42 14:19:32    -3727.934010        0.604490
BFGS:   43 14:19:33    -3727.972995        0.368654
BFGS:   44 14:19:34    -3727.992730        0.202797
BFGS:   45 14:19:35    -3728.004600        0.214630
BFGS:   46 14:19:35    -3728.017008        0.335950
BFGS:   47 14:19:36    -3728.028714        0.309412
BFGS:   48 14:19:37    -3728.036813        0.160512
BFGS:   49 14:19:37    -3728.041906        0.142745
BFGS:   50 14:19:38    -3728.045658        0.120089
BFGS:   51 14:19:39    -3728.048829        0.110525
BFGS:   52 14:19:39    -3728.051495        0.077726
BFGS:   53 14:19:40    -3728.053825        0.077505
BFGS:   54 14:19:40    -3728.056032        0.094550
BFGS:   55 14:19:41    -3728.057857        0.090823
BFGS:   56 14:19:41    -3728.059029        0.079972
BFGS:   57 14:19:42    -3728.059774        0.078689
BFGS:   58 14:19:42    -3728.060418        0.073783
BFGS:   59 14:19:43    -3728.061117        0.066845
BFGS:   60 14:19:43    -3728.061873        0.061161
BFGS:   61 14:19:44    -3728.062672        0.057306
BFGS:   62 14:19:44    -3728.063536        0.062581
BFGS:   63 14:19:45    -3728.064484        0.065189
BFGS:   64 14:19:45    -3728.065440        0.058474
BFGS:   65 14:19:46    -3728.066348        0.052137
BFGS:   66 14:19:46    -3728.067201        0.061452
BFGS:   67 14:19:47    -3728.067950        0.067967
BFGS:   68 14:19:47    -3728.068553        0.072605
BFGS:   69 14:19:48    -3728.069041        0.072500
BFGS:   70 14:19:48    -3728.069498        0.067666
BFGS:   71 14:19:49    -3728.069974        0.060667
BFGS:   72 14:19:49    -3728.070414        0.049139
BFGS:   73 14:19:50    -3728.070750        0.037897
BFGS:   74 14:19:50    -3728.070994        0.026688
BFGS:   75 14:19:50    -3728.071180        0.031561
BFGS:   76 14:19:51    -3728.071317        0.022453
BFGS:   77 14:19:51    -3728.071405        0.013474
BFGS:   78 14:19:51    -3728.071464        0.013346
BFGS:   79 14:19:52    -3728.071518        0.013415
BFGS:   80 14:19:52    -3728.071574        0.013472
BFGS:   81 14:19:53    -3728.071628        0.014031
BFGS:   82 14:19:53    -3728.071675        0.015320
BFGS:   83 14:19:53    -3728.071723        0.018513
BFGS:   84 14:19:54    -3728.071776        0.015780
BFGS:   85 14:19:54    -3728.071833        0.012047
BFGS:   86 14:19:54    -3728.071885        0.012105
BFGS:   87 14:19:55    -3728.071935        0.013253
BFGS:   88 14:19:55    -3728.071986        0.011481
BFGS:   89 14:19:55    -3728.072040        0.011404
BFGS:   90 14:19:56    -3728.072092        0.012890
BFGS:   91 14:19:56    -3728.072134        0.014748
BFGS:   92 14:19:56    -3728.072168        0.012517
BFGS:   93 14:19:57    -3728.072196        0.008171
