      Step     Time          Energy          fmax
BFGS:    0 10:22:55    -2971.944206        8.740645
BFGS:    1 10:22:56    -2976.848899        4.909092
BFGS:    2 10:22:57    -2982.722621        3.737332
BFGS:    3 10:22:59    -2983.997208        8.646627
BFGS:    4 10:22:59    -2986.711107        3.777121
BFGS:    5 10:23:00    -2990.056609        3.623537
BFGS:    6 10:23:01    -2992.296595       12.326868
BFGS:    7 10:23:02    -2993.946949        3.239878
BFGS:    8 10:23:02    -2995.023699        2.972428
BFGS:    9 10:23:03    -2995.985866        3.715578
BFGS:   10 10:23:04    -2997.249493        2.331416
BFGS:   11 10:23:04    -2999.521740        3.276183
BFGS:   12 10:23:05    -3000.616420        4.364440
BFGS:   13 10:23:06    -3001.512878        2.902921
BFGS:   14 10:23:06    -3002.342777        1.099967
BFGS:   15 10:23:07    -3002.506063        3.390762
BFGS:   16 10:23:07    -3002.827469        2.198248
BFGS:   17 10:23:08    -3003.069553        0.974479
BFGS:   18 10:23:08    -3003.309615        1.144676
BFGS:   19 10:23:09    -3003.505015        0.969522
BFGS:   20 10:23:09    -3003.732430        1.017012
BFGS:   21 10:23:10    -3003.870410        0.733852
BFGS:   22 10:23:10    -3003.983194        0.618267
BFGS:   23 10:23:11    -3004.076340        0.724735
BFGS:   24 10:23:11    -3004.159469        0.531860
BFGS:   25 10:23:12    -3004.233533        0.468088
BFGS:   26 10:23:12    -3004.298527        0.418172
BFGS:   27 10:23:13    -3004.349215        0.517661
BFGS:   28 10:23:13    -3004.395596        0.470510
BFGS:   29 10:23:14    -3004.445505        0.419222
BFGS:   30 10:23:14    -3004.498149        0.488522
BFGS:   31 10:23:15    -3004.544517        0.411793
BFGS:   32 10:23:15    -3004.581630        0.374834
BFGS:   33 10:23:16    -3004.619107        0.348671
BFGS:   34 10:23:16    -3004.667765        0.479492
BFGS:   35 10:23:17    -3004.727473        0.548763
BFGS:   36 10:23:17    -3004.784341        0.394878
BFGS:   37 10:23:18    -3004.824095        0.322970
BFGS:   38 10:23:18    -3004.848324        0.293427
BFGS:   39 10:23:19    -3004.863949        0.268945
BFGS:   40 10:23:19    -3004.874197        0.165686
BFGS:   41 10:23:19    -3004.881292        0.140374
BFGS:   42 10:23:20    -3004.886434        0.111145
BFGS:   43 10:23:20    -3004.889752        0.085887
BFGS:   44 10:23:20    -3004.891562        0.066341
BFGS:   45 10:23:21    -3004.892657        0.049819
BFGS:   46 10:23:21    -3004.893560        0.054554
BFGS:   47 10:23:21    -3004.894352        0.048386
BFGS:   48 10:23:22    -3004.894886        0.032694
BFGS:   49 10:23:22    -3004.895242        0.036069
BFGS:   50 10:23:22    -3004.895528        0.031971
