      Step     Time          Energy          fmax
BFGS:    0 10:23:18    -2052.730727        4.966795
BFGS:    1 10:23:19    -2056.119069        4.236557
BFGS:    2 10:23:19    -2060.851639        5.497814
BFGS:    3 10:23:20    -2067.942563        8.237083
BFGS:    4 10:23:20    -2074.340247        5.668334
BFGS:    5 10:23:21    -2074.724349       14.372258
BFGS:    6 10:23:21    -2077.786965        4.982791
BFGS:    7 10:23:21    -2078.641850        2.365692
BFGS:    8 10:23:22    -2079.391939        1.489519
BFGS:    9 10:23:22    -2079.574213        0.972629
BFGS:   10 10:23:23    -2080.140201        2.141526
BFGS:   11 10:23:23    -2080.979139        2.569333
BFGS:   12 10:23:24    -2082.062628        3.892217
BFGS:   13 10:23:24    -2082.271136        4.722038
BFGS:   14 10:23:25    -2083.714244        2.908360
BFGS:   15 10:23:25    -2084.612406        2.549157
BFGS:   16 10:23:26    -2085.353623        1.541292
BFGS:   17 10:23:26    -2085.571458        0.998512
BFGS:   18 10:23:26    -2085.792255        0.543398
BFGS:   19 10:23:27    -2085.854087        0.407798
BFGS:   20 10:23:27    -2085.916753        0.408781
BFGS:   21 10:23:27    -2085.958833        0.405907
BFGS:   22 10:23:28    -2086.005032        0.457873
BFGS:   23 10:23:28    -2086.046032        0.400939
BFGS:   24 10:23:28    -2086.083601        0.307985
BFGS:   25 10:23:29    -2086.117188        0.345260
BFGS:   26 10:23:29    -2086.145692        0.350536
BFGS:   27 10:23:29    -2086.167325        0.311122
BFGS:   28 10:23:30    -2086.180194        0.316130
BFGS:   29 10:23:30    -2086.189232        0.291252
BFGS:   30 10:23:30    -2086.199699        0.243335
BFGS:   31 10:23:31    -2086.213716        0.275414
BFGS:   32 10:23:31    -2086.224967        0.171414
BFGS:   33 10:23:31    -2086.232601        0.188972
BFGS:   34 10:23:31    -2086.237454        0.230949
BFGS:   35 10:23:32    -2086.241479        0.136973
BFGS:   36 10:23:32    -2086.245382        0.116310
BFGS:   37 10:23:32    -2086.248553        0.116110
BFGS:   38 10:23:33    -2086.251528        0.109956
BFGS:   39 10:23:33    -2086.254834        0.097871
BFGS:   40 10:23:33    -2086.258876        0.133258
BFGS:   41 10:23:33    -2086.264753        0.172370
BFGS:   42 10:23:34    -2086.273448        0.246204
BFGS:   43 10:23:34    -2086.284279        0.246069
BFGS:   44 10:23:34    -2086.295312        0.171586
BFGS:   45 10:23:34    -2086.306939        0.216861
BFGS:   46 10:23:35    -2086.322029        0.306381
BFGS:   47 10:23:35    -2086.341593        0.321696
BFGS:   48 10:23:35    -2086.361209        0.285982
BFGS:   49 10:23:36    -2086.373275        0.133820
BFGS:   50 10:23:36    -2086.378640        0.117250
