      Step     Time          Energy          fmax
BFGS:    0 10:23:13    -2231.922544        9.564685
BFGS:    1 10:23:14    -2236.645302        4.954909
BFGS:    2 10:23:14    -2242.509015        5.619682
BFGS:    3 10:23:15    -2248.506588        8.217414
BFGS:    4 10:23:15    -2253.583614       24.939185
BFGS:    5 10:23:16    -2250.907168       33.050974
BFGS:    6 10:23:16    -2259.835917        6.211084
BFGS:    7 10:23:17    -2261.612445        5.013617
BFGS:    8 10:23:17    -2263.791679        2.940121
BFGS:    9 10:23:18    -2264.330977        1.833628
BFGS:   10 10:23:18    -2264.790253        1.676630
BFGS:   11 10:23:19    -2265.018276        1.638763
BFGS:   12 10:23:19    -2265.238155        1.071420
BFGS:   13 10:23:19    -2265.393739        1.179453
BFGS:   14 10:23:20    -2265.583604        1.378011
BFGS:   15 10:23:20    -2265.851390        1.560653
BFGS:   16 10:23:21    -2266.190982        1.539464
BFGS:   17 10:23:21    -2266.570377        1.763616
BFGS:   18 10:23:21    -2266.985318        2.181665
BFGS:   19 10:23:22    -2267.267952        1.758192
BFGS:   20 10:23:22    -2267.392899        1.040606
BFGS:   21 10:23:22    -2267.463929        0.690687
BFGS:   22 10:23:23    -2267.517841        0.681155
BFGS:   23 10:23:23    -2267.560310        0.766323
BFGS:   24 10:23:23    -2267.606735        0.853808
BFGS:   25 10:23:24    -2267.655826        0.604529
BFGS:   26 10:23:24    -2267.709099        0.641611
BFGS:   27 10:23:24    -2267.746896        0.603259
BFGS:   28 10:23:25    -2267.787216        0.530280
BFGS:   29 10:23:25    -2267.825206        0.518092
BFGS:   30 10:23:25    -2267.870917        0.513679
BFGS:   31 10:23:26    -2267.913466        0.628930
BFGS:   32 10:23:26    -2267.948182        0.471558
BFGS:   33 10:23:26    -2267.974076        0.388681
BFGS:   34 10:23:26    -2267.996740        0.338084
BFGS:   35 10:23:27    -2268.019116        0.361725
BFGS:   36 10:23:27    -2268.038788        0.356712
BFGS:   37 10:23:27    -2268.054346        0.310260
BFGS:   38 10:23:28    -2268.068213        0.276292
BFGS:   39 10:23:28    -2268.082513        0.365903
BFGS:   40 10:23:28    -2268.098438        0.375485
BFGS:   41 10:23:29    -2268.116890        0.289548
BFGS:   42 10:23:29    -2268.138129        0.364657
BFGS:   43 10:23:29    -2268.160990        0.295885
BFGS:   44 10:23:29    -2268.183117        0.313780
BFGS:   45 10:23:30    -2268.205725        0.436395
BFGS:   46 10:23:30    -2268.230773        0.429866
BFGS:   47 10:23:30    -2268.257594        0.319098
BFGS:   48 10:23:31    -2268.280838        0.529625
BFGS:   49 10:23:31    -2268.293838        0.418402
BFGS:   50 10:23:31    -2268.316011        0.410170
