      Step     Time          Energy          fmax
BFGS:    0 10:23:19    -2170.005133        5.109670
BFGS:    1 10:23:19    -2172.990926        3.727253
BFGS:    2 10:23:19    -2178.103485        5.468801
BFGS:    3 10:23:20    -2186.577570        7.697954
BFGS:    4 10:23:20    -2192.326185       14.265679
BFGS:    5 10:23:21    -2189.061893       19.682057
BFGS:    6 10:23:21    -2193.485317       12.911563
BFGS:    7 10:23:21    -2197.103827        6.110001
BFGS:    8 10:23:22    -2198.481790        6.682559
BFGS:    9 10:23:22    -2200.291952        2.901051
BFGS:   10 10:23:22    -2201.909580        2.180552
BFGS:   11 10:23:23    -2202.538566        3.402363
BFGS:   12 10:23:23    -2202.995819        2.404854
BFGS:   13 10:23:23    -2204.314560        4.979016
BFGS:   14 10:23:24    -2205.455383        9.407448
BFGS:   15 10:23:24    -2205.779614        8.663025
BFGS:   16 10:23:24    -2207.014011        4.520967
BFGS:   17 10:23:24    -2207.765833        3.134070
BFGS:   18 10:23:25    -2208.247063        1.738526
BFGS:   19 10:23:25    -2208.403926        1.404131
BFGS:   20 10:23:25    -2208.515358        1.051918
BFGS:   21 10:23:25    -2208.672823        1.280717
BFGS:   22 10:23:26    -2208.906543        1.211133
BFGS:   23 10:23:26    -2209.111340        1.059603
BFGS:   24 10:23:26    -2209.371103        1.984068
BFGS:   25 10:23:27    -2209.695307        3.190496
BFGS:   26 10:23:27    -2209.898275        3.516916
BFGS:   27 10:23:27    -2210.285235        3.418224
BFGS:   28 10:23:27    -2211.337883        3.608595
BFGS:   29 10:23:28    -2211.936985        2.064805
BFGS:   30 10:23:28    -2212.276807        1.361535
BFGS:   31 10:23:28    -2212.489004        1.460996
BFGS:   32 10:23:28    -2212.593639        0.968186
BFGS:   33 10:23:29    -2212.716554        0.590039
BFGS:   34 10:23:29    -2212.824843        0.818290
BFGS:   35 10:23:29    -2212.888411        0.704364
BFGS:   36 10:23:29    -2212.932364        0.729459
BFGS:   37 10:23:30    -2212.976919        0.670228
BFGS:   38 10:23:30    -2213.026915        0.559466
BFGS:   39 10:23:30    -2213.071626        0.441648
BFGS:   40 10:23:30    -2213.104616        0.348422
BFGS:   41 10:23:31    -2213.122320        0.264424
BFGS:   42 10:23:31    -2213.133662        0.214074
BFGS:   43 10:23:31    -2213.144070        0.242279
BFGS:   44 10:23:31    -2213.154104        0.167907
BFGS:   45 10:23:31    -2213.163280        0.232965
BFGS:   46 10:23:32    -2213.169922        0.154356
BFGS:   47 10:23:32    -2213.174252        0.115196
BFGS:   48 10:23:32    -2213.177929        0.144299
BFGS:   49 10:23:32    -2213.182134        0.145280
BFGS:   50 10:23:32    -2213.186939        0.134072
