      Step     Time          Energy          fmax
BFGS:    0 10:23:21    -2107.006644        5.185502
BFGS:    1 10:23:21    -2110.302374        4.011500
BFGS:    2 10:23:22    -2115.093631        5.689407
BFGS:    3 10:23:22    -2122.287224        8.086883
BFGS:    4 10:23:23    -2125.352965       14.694922
BFGS:    5 10:23:23    -2127.629403        6.466544
BFGS:    6 10:23:23    -2129.784152        6.426455
BFGS:    7 10:23:24    -2131.170280        8.064268
BFGS:    8 10:23:24    -2132.581372        4.713210
BFGS:    9 10:23:25    -2133.458108        5.316486
BFGS:   10 10:23:25    -2134.250720        4.871216
BFGS:   11 10:23:25    -2134.970621        3.746183
BFGS:   12 10:23:26    -2135.732681        2.991320
BFGS:   13 10:23:26    -2136.909788        3.665847
BFGS:   14 10:23:27    -2138.084216        4.351134
BFGS:   15 10:23:27    -2139.631201        4.058706
BFGS:   16 10:23:27    -2141.554315        3.290912
BFGS:   17 10:23:28    -2142.942144        4.151950
BFGS:   18 10:23:28    -2143.760129        3.716273
BFGS:   19 10:23:29    -2144.644513        2.834359
BFGS:   20 10:23:29    -2145.204499        1.712452
BFGS:   21 10:23:30    -2145.593044        1.063414
BFGS:   22 10:23:30    -2145.795169        0.949852
BFGS:   23 10:23:30    -2145.932765        0.801131
BFGS:   24 10:23:31    -2146.058453        0.987480
BFGS:   25 10:23:31    -2146.193640        1.262810
BFGS:   26 10:23:31    -2146.370129        1.253959
BFGS:   27 10:23:32    -2146.515080        1.004980
BFGS:   28 10:23:32    -2146.718478        0.687377
BFGS:   29 10:23:32    -2146.820639        0.952951
BFGS:   30 10:23:32    -2146.901730        0.697387
BFGS:   31 10:23:33    -2146.958928        0.636925
BFGS:   32 10:23:33    -2147.009807        0.509095
BFGS:   33 10:23:33    -2147.058558        0.635254
BFGS:   34 10:23:33    -2147.095786        0.481349
BFGS:   35 10:23:34    -2147.149641        0.519859
BFGS:   36 10:23:34    -2147.209682        0.473202
BFGS:   37 10:23:34    -2147.272941        0.582978
BFGS:   38 10:23:34    -2147.335190        0.597280
BFGS:   39 10:23:34    -2147.398682        0.610102
BFGS:   40 10:23:35    -2147.468545        0.704067
BFGS:   41 10:23:35    -2147.537775        0.806686
BFGS:   42 10:23:35    -2147.599699        0.798222
BFGS:   43 10:23:36    -2147.655752        0.719478
BFGS:   44 10:23:36    -2147.713623        0.755872
BFGS:   45 10:23:36    -2147.774372        0.868889
BFGS:   46 10:23:36    -2147.837131        0.878776
BFGS:   47 10:23:36    -2147.883812        1.083086
BFGS:   48 10:23:37    -2147.908822        1.013167
BFGS:   49 10:23:37    -2147.929876        0.846714
BFGS:   50 10:23:37    -2147.953544        0.855888
