      Step     Time          Energy          fmax
BFGS:    0 10:23:19    -2216.426964        5.175073
BFGS:    1 10:23:20    -2219.758931        4.146195
BFGS:    2 10:23:20    -2225.447372        5.710130
BFGS:    3 10:23:20    -2233.394979        7.992782
BFGS:    4 10:23:21    -2235.499563       15.658137
BFGS:    5 10:23:21    -2239.601148        5.383795
BFGS:    6 10:23:22    -2243.267160        6.565684
BFGS:    7 10:23:22    -2244.037466       20.063746
BFGS:    8 10:23:23    -2247.272695        3.448734
BFGS:    9 10:23:23    -2248.453585        3.054536
BFGS:   10 10:23:24    -2249.297129        1.609146
BFGS:   11 10:23:24    -2249.601745        1.246917
BFGS:   12 10:23:24    -2250.014010        2.397549
BFGS:   13 10:23:25    -2250.238768        2.426502
BFGS:   14 10:23:25    -2250.517962        1.278813
BFGS:   15 10:23:25    -2250.877802        1.294500
BFGS:   16 10:23:26    -2251.079380        1.327262
BFGS:   17 10:23:26    -2251.321719        1.068768
BFGS:   18 10:23:26    -2251.590671        1.647726
BFGS:   19 10:23:27    -2252.039754        2.233360
BFGS:   20 10:23:27    -2252.816821        3.299554
BFGS:   21 10:23:27    -2252.634212       11.090300
BFGS:   22 10:23:28    -2253.969354        3.264668
BFGS:   23 10:23:28    -2255.115425        2.885046
BFGS:   24 10:23:28    -2256.611592        7.375869
BFGS:   25 10:23:29    -2257.575856        3.826948
BFGS:   26 10:23:29    -2258.137345        2.604970
BFGS:   27 10:23:29    -2258.545949        1.664371
BFGS:   28 10:23:30    -2258.861196        1.740927
BFGS:   29 10:23:30    -2259.091764        0.776763
BFGS:   30 10:23:30    -2259.250299        1.014494
BFGS:   31 10:23:31    -2259.460294        1.159544
BFGS:   32 10:23:31    -2259.646771        1.573701
BFGS:   33 10:23:31    -2259.816447        1.523926
BFGS:   34 10:23:31    -2259.949953        0.988353
BFGS:   35 10:23:32    -2260.072589        0.694001
BFGS:   36 10:23:32    -2260.170077        0.550660
BFGS:   37 10:23:32    -2260.227357        0.460783
BFGS:   38 10:23:33    -2260.267493        0.344747
BFGS:   39 10:23:33    -2260.296759        0.274890
BFGS:   40 10:23:33    -2260.323161        0.329162
BFGS:   41 10:23:33    -2260.346193        0.401924
BFGS:   42 10:23:34    -2260.369170        0.422681
BFGS:   43 10:23:34    -2260.390996        0.464601
BFGS:   44 10:23:34    -2260.408188        0.403095
BFGS:   45 10:23:34    -2260.423156        0.308514
BFGS:   46 10:23:35    -2260.439349        0.257962
BFGS:   47 10:23:35    -2260.455174        0.358108
BFGS:   48 10:23:35    -2260.471368        0.368519
BFGS:   49 10:23:35    -2260.489146        0.411630
BFGS:   50 10:23:36    -2260.508305        0.487576
