      Step     Time          Energy          fmax
BFGS:    0 10:23:28    -2542.300302        4.512540
BFGS:    1 10:23:29    -2544.488650        3.545690
BFGS:    2 10:23:29    -2547.356543        3.176944
BFGS:    3 10:23:30    -2553.604878        4.423296
BFGS:    4 10:23:30    -2559.301631        5.072776
BFGS:    5 10:23:31    -2558.276994       13.156768
BFGS:    6 10:23:32    -2562.151328        4.105321
BFGS:    7 10:23:32    -2563.811339        3.792148
BFGS:    8 10:23:32    -2568.792004       14.167404
BFGS:    9 10:23:33    -2570.839729        7.269014
BFGS:   10 10:23:33    -2573.056462        3.630995
BFGS:   11 10:23:34    -2575.633755        3.431192
BFGS:   12 10:23:34    -2577.961652        5.658809
BFGS:   13 10:23:34    -2580.346959        3.952846
BFGS:   14 10:23:35    -2582.303640        3.489413
BFGS:   15 10:23:35    -2583.445244        3.200083
BFGS:   16 10:23:35    -2584.844592        3.327469
BFGS:   17 10:23:36    -2585.548245        1.875824
BFGS:   18 10:23:36    -2586.258904        1.491874
BFGS:   19 10:23:36    -2586.593752        1.364399
BFGS:   20 10:23:37    -2586.847007        1.091321
BFGS:   21 10:23:37    -2586.927495        0.673427
BFGS:   22 10:23:37    -2586.966990        0.398135
BFGS:   23 10:23:37    -2586.992504        0.344895
BFGS:   24 10:23:38    -2587.008785        0.197738
BFGS:   25 10:23:38    -2587.019294        0.180644
BFGS:   26 10:23:38    -2587.028405        0.167236
BFGS:   27 10:23:39    -2587.036809        0.193716
BFGS:   28 10:23:39    -2587.043149        0.125202
BFGS:   29 10:23:39    -2587.047284        0.093907
BFGS:   30 10:23:39    -2587.050335        0.106902
BFGS:   31 10:23:40    -2587.053076        0.104105
BFGS:   32 10:23:40    -2587.055487        0.088592
BFGS:   33 10:23:40    -2587.057250        0.060416
BFGS:   34 10:23:40    -2587.058372        0.054236
BFGS:   35 10:23:40    -2587.059115        0.049133
BFGS:   36 10:23:41    -2587.059659        0.043464
BFGS:   37 10:23:41    -2587.060078        0.032560
BFGS:   38 10:23:41    -2587.060435        0.034712
BFGS:   39 10:23:41    -2587.060801        0.035311
BFGS:   40 10:23:41    -2587.061220        0.036521
BFGS:   41 10:23:41    -2587.061709        0.039089
BFGS:   42 10:23:42    -2587.062224        0.051585
BFGS:   43 10:23:42    -2587.062701        0.052888
BFGS:   44 10:23:42    -2587.063076        0.040231
BFGS:   45 10:23:42    -2587.063326        0.034789
BFGS:   46 10:23:42    -2587.063474        0.025481
BFGS:   47 10:23:43    -2587.063562        0.018492
BFGS:   48 10:23:43    -2587.063617        0.013839
BFGS:   49 10:23:43    -2587.063652        0.010509
BFGS:   50 10:23:43    -2587.063673        0.008584
