      Step     Time          Energy          fmax
BFGS:    0 10:24:12    -3186.550234        7.187005
BFGS:    1 10:24:14    -3191.560879        7.548248
BFGS:    2 10:24:15    -3199.035560        7.336809
BFGS:    3 10:24:16    -3205.072549        6.576438
BFGS:    4 10:24:17    -3208.922055        6.083863
BFGS:    5 10:24:18    -3212.210100        5.651378
BFGS:    6 10:24:19    -3215.349230        8.603757
BFGS:    7 10:24:20    -3218.054270        3.106875
BFGS:    8 10:24:21    -3218.984178        3.199051
BFGS:    9 10:24:22    -3219.698719       10.740660
BFGS:   10 10:24:23    -3220.762067        2.584431
BFGS:   11 10:24:24    -3221.528672        1.315138
BFGS:   12 10:24:24    -3222.079901        3.080744
BFGS:   13 10:24:25    -3222.474300        2.009143
BFGS:   14 10:24:26    -3223.400739        2.997926
BFGS:   15 10:24:27    -3223.783230        3.094021
BFGS:   16 10:24:28    -3224.240503        1.949132
BFGS:   17 10:24:29    -3224.416642        1.798386
BFGS:   18 10:24:29    -3224.632215        0.826098
BFGS:   19 10:24:30    -3224.692554        0.599387
BFGS:   20 10:24:31    -3224.735251        0.428403
BFGS:   21 10:24:31    -3224.760580        0.386924
BFGS:   22 10:24:32    -3224.781878        0.534532
BFGS:   23 10:24:33    -3224.807204        0.492698
BFGS:   24 10:24:34    -3224.835699        0.316053
BFGS:   25 10:24:34    -3224.866869        0.431494
BFGS:   26 10:24:35    -3224.895570        0.443808
BFGS:   27 10:24:36    -3224.920534        0.329734
BFGS:   28 10:24:36    -3224.943767        0.328278
BFGS:   29 10:24:37    -3224.967030        0.313173
BFGS:   30 10:24:37    -3224.989066        0.339886
BFGS:   31 10:24:38    -3225.009754        0.298010
BFGS:   32 10:24:39    -3225.030807        0.285034
BFGS:   33 10:24:39    -3225.055307        0.403640
BFGS:   34 10:24:40    -3225.084255        0.527423
BFGS:   35 10:24:40    -3225.114040        0.406022
BFGS:   36 10:24:41    -3225.140771        0.289224
BFGS:   37 10:24:42    -3225.164958        0.289768
BFGS:   38 10:24:42    -3225.190651        0.487708
BFGS:   39 10:24:43    -3225.222164        0.500315
BFGS:   40 10:24:43    -3225.257415        0.476478
BFGS:   41 10:24:44    -3225.288061        0.342460
BFGS:   42 10:24:44    -3225.311182        0.306640
BFGS:   43 10:24:45    -3225.329665        0.304192
BFGS:   44 10:24:46    -3225.346778        0.295492
BFGS:   45 10:24:46    -3225.362987        0.270588
BFGS:   46 10:24:47    -3225.376339        0.250719
BFGS:   47 10:24:47    -3225.385749        0.231755
BFGS:   48 10:24:48    -3225.391774        0.162487
BFGS:   49 10:24:48    -3225.395766        0.133502
BFGS:   50 10:24:49    -3225.398831        0.133889
