      Step     Time          Energy          fmax
BFGS:    0 10:23:39    -3046.927585       11.922368
BFGS:    1 10:23:40    -3053.949554        5.013260
BFGS:    2 10:23:42    -3060.426620        3.943213
BFGS:    3 10:23:43    -3061.881810        6.027044
BFGS:    4 10:23:44    -3063.908544        2.529011
BFGS:    5 10:23:45    -3065.530450        3.152137
BFGS:    6 10:23:46    -3069.426679        3.386908
BFGS:    7 10:23:47    -3067.103347       21.026960
BFGS:    8 10:23:48    -3071.108287        3.065213
BFGS:    9 10:23:48    -3072.051814        2.672653
BFGS:   10 10:23:49    -3072.362512       12.048131
BFGS:   11 10:23:50    -3074.174170        2.711508
BFGS:   12 10:23:50    -3075.143396        1.532049
BFGS:   13 10:23:51    -3076.174274        1.871513
BFGS:   14 10:23:51    -3076.490609        1.300786
BFGS:   15 10:23:52    -3077.168588        1.449359
BFGS:   16 10:23:53    -3077.488089        1.274892
BFGS:   17 10:23:53    -3077.923640        1.022272
BFGS:   18 10:23:54    -3078.056990        0.867378
BFGS:   19 10:23:54    -3078.180549        0.604389
BFGS:   20 10:23:55    -3078.268968        0.590977
BFGS:   21 10:23:55    -3078.364420        0.471008
BFGS:   22 10:23:56    -3078.429674        0.485541
BFGS:   23 10:23:56    -3078.477675        0.383157
BFGS:   24 10:23:57    -3078.507243        0.280534
BFGS:   25 10:23:57    -3078.528993        0.253246
BFGS:   26 10:23:57    -3078.546265        0.243840
BFGS:   27 10:23:58    -3078.561337        0.249697
BFGS:   28 10:23:58    -3078.572970        0.192427
BFGS:   29 10:23:59    -3078.580946        0.132701
BFGS:   30 10:23:59    -3078.587077        0.169714
BFGS:   31 10:24:00    -3078.593050        0.152580
BFGS:   32 10:24:00    -3078.599147        0.158085
BFGS:   33 10:24:01    -3078.605413        0.148463
BFGS:   34 10:24:01    -3078.612129        0.140966
BFGS:   35 10:24:01    -3078.619553        0.136601
BFGS:   36 10:24:02    -3078.627239        0.120996
BFGS:   37 10:24:02    -3078.633781        0.124336
BFGS:   38 10:24:02    -3078.638531        0.098735
BFGS:   39 10:24:03    -3078.641328        0.088335
BFGS:   40 10:24:03    -3078.642917        0.076457
BFGS:   41 10:24:04    -3078.643830        0.065041
BFGS:   42 10:24:04    -3078.644426        0.067187
BFGS:   43 10:24:04    -3078.644825        0.042970
BFGS:   44 10:24:04    -3078.645061        0.018300
BFGS:   45 10:24:05    -3078.645186        0.017186
BFGS:   46 10:24:05    -3078.645266        0.016122
BFGS:   47 10:24:05    -3078.645336        0.014747
BFGS:   48 10:24:05    -3078.645387        0.010496
BFGS:   49 10:24:06    -3078.645415        0.007885
