      Step     Time          Energy          fmax
BFGS:    0 10:23:45    -2073.582780        9.330223
BFGS:    1 10:23:45    -2077.967822        5.545791
BFGS:    2 10:23:46    -2083.512053        6.311258
BFGS:    3 10:23:47    -2089.591158        9.086749
BFGS:    4 10:23:47    -2092.562348       35.332562
BFGS:    5 10:23:47    -2097.359208       12.579968
BFGS:    6 10:23:48    -2100.899787       13.674044
BFGS:    7 10:23:48    -2102.625581       12.816393
BFGS:    8 10:23:49    -2104.549896        3.815364
BFGS:    9 10:23:49    -2104.992649        7.364824
BFGS:   10 10:23:50    -2105.865169        1.661757
BFGS:   11 10:23:50    -2106.076489        1.235360
BFGS:   12 10:23:50    -2106.272081        0.919254
BFGS:   13 10:23:50    -2106.351373        0.659785
BFGS:   14 10:23:51    -2106.487258        0.826608
BFGS:   15 10:23:51    -2106.573264        0.921240
BFGS:   16 10:23:51    -2106.669504        0.988686
BFGS:   17 10:23:52    -2106.779083        0.977430
BFGS:   18 10:23:52    -2106.894955        0.803556
BFGS:   19 10:23:52    -2106.997739        0.878197
BFGS:   20 10:23:52    -2107.093786        0.767003
BFGS:   21 10:23:53    -2107.178557        0.878640
BFGS:   22 10:23:53    -2107.269798        0.926691
BFGS:   23 10:23:53    -2107.444734        1.069530
BFGS:   24 10:23:54    -2107.379134        2.583994
BFGS:   25 10:23:54    -2107.611997        1.264886
BFGS:   26 10:23:54    -2107.716818        1.236585
BFGS:   27 10:23:54    -2108.113259        1.937597
BFGS:   28 10:23:55    -2108.275015        1.353660
BFGS:   29 10:23:55    -2108.430129        1.185957
BFGS:   30 10:23:55    -2108.680039        3.859291
BFGS:   31 10:23:55    -2108.923760        1.096914
BFGS:   32 10:23:55    -2109.046781        0.875494
BFGS:   33 10:23:56    -2109.422074        1.264671
BFGS:   34 10:23:56    -2109.570243        1.075458
BFGS:   35 10:23:56    -2109.654292        0.774630
BFGS:   36 10:23:56    -2109.767190        0.610035
BFGS:   37 10:23:57    -2109.836722        1.001527
BFGS:   38 10:23:57    -2109.890320        0.474361
BFGS:   39 10:23:57    -2109.925927        0.440919
BFGS:   40 10:23:57    -2109.950219        0.548216
BFGS:   41 10:23:57    -2109.984006        0.554141
BFGS:   42 10:23:57    -2110.013097        0.553630
BFGS:   43 10:23:58    -2110.037669        0.392389
BFGS:   44 10:23:58    -2110.056810        0.463280
BFGS:   45 10:23:58    -2110.074710        0.389345
BFGS:   46 10:23:58    -2110.092167        0.508315
BFGS:   47 10:23:58    -2110.110697        0.537913
BFGS:   48 10:23:58    -2110.132491        0.395501
BFGS:   49 10:23:59    -2110.158118        0.379430
BFGS:   50 10:23:59    -2110.183526        0.380685
