      Step     Time          Energy          fmax
BFGS:    0 10:25:15    -3239.228635        7.349405
BFGS:    1 10:25:16    -3244.724927        7.400590
BFGS:    2 10:25:18    -3252.276863        6.419708
BFGS:    3 10:25:20    -3257.712768        5.702759
BFGS:    4 10:25:25    -3262.108791        6.458047
BFGS:    5 10:25:26    -3264.856501       12.904387
BFGS:    6 10:25:27    -3270.255239        3.307737
BFGS:    7 10:25:29    -3271.974127        1.803355
BFGS:    8 10:25:30    -3273.015612        2.579747
BFGS:    9 10:25:31    -3273.766630        1.618200
BFGS:   10 10:25:32    -3274.644054        3.686062
BFGS:   11 10:25:33    -3275.000220        3.477573
BFGS:   12 10:25:34    -3275.389891        2.464706
BFGS:   13 10:25:36    -3276.076206        1.013180
BFGS:   14 10:25:37    -3276.320744        0.911943
BFGS:   15 10:25:38    -3276.549055        0.754004
BFGS:   16 10:25:39    -3276.676764        0.753959
BFGS:   17 10:25:40    -3276.795963        0.759063
BFGS:   18 10:25:41    -3276.881527        0.503537
BFGS:   19 10:25:42    -3276.927422        0.239820
BFGS:   20 10:25:43    -3276.949652        0.242463
BFGS:   21 10:25:44    -3276.976646        0.246049
BFGS:   22 10:25:45    -3277.015782        0.313824
BFGS:   23 10:25:46    -3277.056348        0.305687
BFGS:   24 10:25:47    -3277.090248        0.323051
BFGS:   25 10:25:48    -3277.119802        0.296525
BFGS:   26 10:25:49    -3277.151994        0.328286
BFGS:   27 10:25:51    -3277.188015        0.474259
BFGS:   28 10:25:52    -3277.225356        0.587810
BFGS:   29 10:25:53    -3277.262219        0.642458
BFGS:   30 10:25:54    -3277.302334        0.598140
BFGS:   31 10:25:56    -3277.346625        0.461548
BFGS:   32 10:25:57    -3277.387779        0.294599
BFGS:   33 10:25:58    -3277.416327        0.232449
BFGS:   34 10:25:59    -3277.430003        0.153046
BFGS:   35 10:25:59    -3277.437169        0.126869
BFGS:   36 10:26:00    -3277.441072        0.089125
BFGS:   37 10:26:01    -3277.445104        0.089091
BFGS:   38 10:26:02    -3277.448691        0.114591
BFGS:   39 10:26:03    -3277.451663        0.115023
BFGS:   40 10:26:04    -3277.453510        0.068488
BFGS:   41 10:26:04    -3277.454594        0.060138
BFGS:   42 10:26:05    -3277.455334        0.041083
BFGS:   43 10:26:06    -3277.455867        0.044954
BFGS:   44 10:26:07    -3277.456209        0.032351
BFGS:   45 10:26:07    -3277.456424        0.018389
BFGS:   46 10:26:08    -3277.456570        0.016598
BFGS:   47 10:26:09    -3277.456667        0.014006
BFGS:   48 10:26:09    -3277.456718        0.010719
BFGS:   49 10:26:10    -3277.456747        0.009124
