      Step     Time          Energy          fmax
BFGS:    0 10:25:16    -3286.447979        6.696474
BFGS:    1 10:25:18    -3291.122904        7.055706
BFGS:    2 10:25:20    -3298.233193        7.243430
BFGS:    3 10:25:22    -3303.914095        6.334719
BFGS:    4 10:25:25    -3307.615206        6.357543
BFGS:    5 10:25:26    -3311.253978        5.910681
BFGS:    6 10:25:28    -3314.981313        8.894434
BFGS:    7 10:25:29    -3318.511932        4.285729
BFGS:    8 10:25:33    -3320.189224        5.627030
BFGS:    9 10:25:34    -3321.132885        3.256275
BFGS:   10 10:25:35    -3321.665811        1.347048
BFGS:   11 10:25:36    -3322.212680        1.899388
BFGS:   12 10:25:37    -3322.670618        1.423973
BFGS:   13 10:25:37    -3322.959598        1.327609
