      Step     Time          Energy          fmax
BFGS:    0 10:25:18    -3265.009631       10.131923
BFGS:    1 10:25:20    -3271.513864        7.242024
BFGS:    2 10:25:24    -3279.853759        7.901858
BFGS:    3 10:25:27    -3285.755304        5.874463
BFGS:    4 10:25:29    -3289.494687        8.410417
BFGS:    5 10:25:30    -3292.161601        9.995119
BFGS:    6 10:25:31    -3294.715078        4.183135
BFGS:    7 10:25:33    -3296.096654        4.082444
BFGS:    8 10:25:34    -3298.390109        2.749128
BFGS:    9 10:25:36    -3298.333005       12.785123
BFGS:   10 10:25:38    -3299.448644        1.714263
