      Step     Time          Energy          fmax
BFGS:    0 10:24:31    -2837.208766        5.425560
BFGS:    1 10:24:33    -2840.703326        5.050607
BFGS:    2 10:24:35    -2845.261573        3.546593
BFGS:    3 10:24:37    -2845.914776       12.314404
BFGS:    4 10:24:39    -2848.799693        3.451462
BFGS:    5 10:24:40    -2851.343256        4.017815
BFGS:    6 10:24:41    -2853.767825        3.766103
BFGS:    7 10:24:43    -2854.535857        2.613064
BFGS:    8 10:24:43    -2856.181799        3.165571
BFGS:    9 10:24:45    -2858.891022        4.801138
BFGS:   10 10:24:46    -2858.934816       10.523629
BFGS:   11 10:24:47    -2860.856338        2.237376
BFGS:   12 10:24:48    -2861.836550        1.682674
BFGS:   13 10:24:50    -2863.933088        2.409019
BFGS:   14 10:24:51    -2863.719268        7.419600
BFGS:   15 10:24:52    -2865.150975        1.687119
BFGS:   16 10:24:53    -2865.614493        1.223810
BFGS:   17 10:24:53    -2866.194150        2.397235
BFGS:   18 10:24:54    -2866.418226        1.205752
BFGS:   19 10:24:55    -2866.641376        0.592219
BFGS:   20 10:24:56    -2866.813003        0.945648
BFGS:   21 10:24:57    -2866.960593        0.896792
BFGS:   22 10:24:58    -2867.185010        0.782195
BFGS:   23 10:24:59    -2867.354246        0.847156
BFGS:   24 10:25:00    -2867.494512        0.730552
BFGS:   25 10:25:00    -2867.613767        0.777047
BFGS:   26 10:25:01    -2867.730469        0.588248
BFGS:   27 10:25:02    -2867.840209        0.515317
BFGS:   28 10:25:03    -2867.926838        0.606219
BFGS:   29 10:25:04    -2867.979096        0.449855
BFGS:   30 10:25:05    -2868.020397        0.303553
BFGS:   31 10:25:05    -2868.056960        0.323384
BFGS:   32 10:25:06    -2868.090091        0.260774
BFGS:   33 10:25:07    -2868.114306        0.250332
BFGS:   34 10:25:07    -2868.132921        0.279751
BFGS:   35 10:25:08    -2868.152933        0.298499
BFGS:   36 10:25:09    -2868.178631        0.310047
BFGS:   37 10:25:10    -2868.210311        0.393464
BFGS:   38 10:25:11    -2868.242817        0.354605
BFGS:   39 10:25:12    -2868.270066        0.283819
BFGS:   40 10:25:12    -2868.291204        0.326509
BFGS:   41 10:25:13    -2868.307948        0.239602
BFGS:   42 10:25:14    -2868.322122        0.209270
BFGS:   43 10:25:14    -2868.336474        0.235587
BFGS:   44 10:25:15    -2868.350952        0.224723
BFGS:   45 10:25:15    -2868.362957        0.167408
BFGS:   46 10:25:16    -2868.369931        0.114626
BFGS:   47 10:25:16    -2868.372852        0.074073
BFGS:   48 10:25:17    -2868.374273        0.059106
BFGS:   49 10:25:17    -2868.375311        0.045406
BFGS:   50 10:25:18    -2868.376007        0.037999
