      Step     Time          Energy          fmax
BFGS:    0 10:24:32    -2045.596573        5.242139
BFGS:    1 10:24:32    -2048.115493        3.909978
BFGS:    2 10:24:33    -2052.680088        5.999254
BFGS:    3 10:24:33    -2059.892499        8.443805
BFGS:    4 10:24:34    -2062.909505       14.954304
BFGS:    5 10:24:34    -2064.737295        7.209999
BFGS:    6 10:24:34    -2065.972896        7.035729
BFGS:    7 10:24:35    -2067.493852        6.111461
BFGS:    8 10:24:35    -2067.737110       20.188332
BFGS:    9 10:24:36    -2069.977171        6.114804
BFGS:   10 10:24:36    -2071.844876        4.963832
BFGS:   11 10:24:37    -2071.260249       23.227338
BFGS:   12 10:24:37    -2073.222783        4.924479
BFGS:   13 10:24:38    -2073.847391        4.981363
BFGS:   14 10:24:38    -2074.736702        4.436642
BFGS:   15 10:24:39    -2075.353427        3.737232
BFGS:   16 10:24:39    -2075.856736        3.054975
BFGS:   17 10:24:40    -2076.345617        2.567435
BFGS:   18 10:24:40    -2076.676306        2.569389
BFGS:   19 10:24:41    -2077.018928        2.532410
BFGS:   20 10:24:41    -2077.489354        2.671516
BFGS:   21 10:24:42    -2077.858663        2.815243
BFGS:   22 10:24:42    -2078.225744        2.307623
BFGS:   23 10:24:42    -2078.474681        2.317111
BFGS:   24 10:24:43    -2078.994310        1.907015
BFGS:   25 10:24:43    -2079.101210        1.650398
BFGS:   26 10:24:43    -2079.243278        1.926652
BFGS:   27 10:24:44    -2079.385730        1.722368
BFGS:   28 10:24:44    -2079.513255        1.723539
BFGS:   29 10:24:45    -2079.743894        1.902791
BFGS:   30 10:24:45    -2080.013322        1.705347
BFGS:   31 10:24:45    -2080.292454        1.178984
BFGS:   32 10:24:46    -2080.487953        1.191586
BFGS:   33 10:24:46    -2080.647696        1.053258
BFGS:   34 10:24:46    -2080.722737        0.792657
BFGS:   35 10:24:47    -2080.770470        0.624406
BFGS:   36 10:24:47    -2080.800438        0.564387
BFGS:   37 10:24:47    -2080.816645        0.594518
BFGS:   38 10:24:48    -2080.824557        0.485579
BFGS:   39 10:24:48    -2080.829891        0.387750
BFGS:   40 10:24:48    -2080.834199        0.362407
BFGS:   41 10:24:48    -2080.837697        0.343708
BFGS:   42 10:24:49    -2080.840797        0.354341
BFGS:   43 10:24:49    -2080.843922        0.382693
BFGS:   44 10:24:49    -2080.847314        0.381409
BFGS:   45 10:24:49    -2080.851546        0.371019
BFGS:   46 10:24:50    -2080.857374        0.377476
BFGS:   47 10:24:50    -2080.864960        0.341044
BFGS:   48 10:24:50    -2080.872728        0.309413
BFGS:   49 10:24:51    -2080.879114        0.230243
BFGS:   50 10:24:51    -2080.884760        0.236823
