      Step     Time          Energy          fmax
BFGS:    0 10:25:09    -2064.488664        5.047435
BFGS:    1 10:25:09    -2067.623096        3.911920
BFGS:    2 10:25:10    -2071.717873        5.574121
BFGS:    3 10:25:11    -2078.294293        8.120759
BFGS:    4 10:25:12    -2081.346717       14.512936
BFGS:    5 10:25:13    -2083.652413       10.585113
BFGS:    6 10:25:14    -2085.494437        7.643735
BFGS:    7 10:25:16    -2087.432009        5.916513
BFGS:    8 10:25:17    -2088.369042       13.790855
BFGS:    9 10:25:18    -2089.876818        6.612098
BFGS:   10 10:25:19    -2090.661055        5.835726
