      Step     Time          Energy          fmax
BFGS:    0 10:25:23    -2479.101775       10.631819
BFGS:    1 10:25:24    -2483.110778        4.629636
BFGS:    2 10:25:25    -2486.335629        3.207800
BFGS:    3 10:25:27    -2489.623371        7.132293
BFGS:    4 10:25:28    -2493.638013       18.820576
BFGS:    5 10:25:29    -2495.718090       16.804895
BFGS:    6 10:25:30    -2499.022262        5.360356
BFGS:    7 10:25:31    -2501.227567        3.199701
BFGS:    8 10:25:31    -2503.599200        5.934464
BFGS:    9 10:25:32    -2505.018389        3.536802
BFGS:   10 10:25:32    -2507.153954        2.599233
BFGS:   11 10:25:33    -2508.706808        3.798562
BFGS:   12 10:25:33    -2510.212798        4.602033
BFGS:   13 10:25:34    -2511.905784        2.970270
BFGS:   14 10:25:35    -2513.042536        2.570559
BFGS:   15 10:25:36    -2514.461095        2.927039
BFGS:   16 10:25:36    -2515.243003        2.004202
BFGS:   17 10:25:37    -2516.025460        1.633415
BFGS:   18 10:25:37    -2516.392546        1.263359
BFGS:   19 10:25:38    -2516.637030        0.956214
