      Step     Time          Energy          fmax
BFGS:    0 10:25:35    -2384.810074       10.386664
BFGS:    1 10:25:36    -2388.475094        4.743441
BFGS:    2 10:25:37    -2391.303528        3.595815
BFGS:    3 10:25:38    -2394.023026        7.243444
BFGS:    4 10:25:39    -2397.348555       15.167814
BFGS:    5 10:25:40    -2398.740452       15.645115
BFGS:    6 10:25:41    -2401.729052        5.330195
BFGS:    7 10:25:42    -2403.579636        4.064776
BFGS:    8 10:25:42    -2405.572715        7.297030
BFGS:    9 10:25:43    -2406.816905        2.162300
BFGS:   10 10:25:44    -2408.123222        1.827030
BFGS:   11 10:25:44    -2409.900047        2.502231
BFGS:   12 10:25:45    -2411.381081        2.926264
BFGS:   13 10:25:46    -2413.291422        4.941157
BFGS:   14 10:25:46    -2414.986624        3.692132
BFGS:   15 10:25:47    -2417.050424        3.022954
BFGS:   16 10:25:48    -2417.895969        2.425030
BFGS:   17 10:25:48    -2418.951772        2.092487
BFGS:   18 10:25:49    -2419.525092        1.524610
BFGS:   19 10:25:49    -2419.911360        1.568984
BFGS:   20 10:25:50    -2420.286606        1.028527
BFGS:   21 10:25:50    -2420.421336        0.692573
BFGS:   22 10:25:51    -2420.532370        0.640112
BFGS:   23 10:25:51    -2420.586655        0.433089
BFGS:   24 10:25:52    -2420.632132        0.471593
BFGS:   25 10:25:52    -2420.664693        0.442130
BFGS:   26 10:25:53    -2420.696061        0.306621
BFGS:   27 10:25:53    -2420.718437        0.234963
BFGS:   28 10:25:54    -2420.736296        0.296876
BFGS:   29 10:25:54    -2420.750679        0.267697
BFGS:   30 10:25:54    -2420.762886        0.220145
BFGS:   31 10:25:55    -2420.772907        0.187306
BFGS:   32 10:25:55    -2420.781329        0.176896
BFGS:   33 10:25:55    -2420.788366        0.158133
BFGS:   34 10:25:56    -2420.793954        0.151976
BFGS:   35 10:25:56    -2420.798266        0.115316
BFGS:   36 10:25:56    -2420.801674        0.111749
BFGS:   37 10:25:57    -2420.804678        0.108047
BFGS:   38 10:25:57    -2420.807785        0.097154
BFGS:   39 10:25:57    -2420.810919        0.101076
BFGS:   40 10:25:58    -2420.813547        0.079249
BFGS:   41 10:25:58    -2420.815505        0.079466
BFGS:   42 10:25:58    -2420.817193        0.100663
BFGS:   43 10:25:59    -2420.818917        0.089014
BFGS:   44 10:25:59    -2420.820593        0.070767
BFGS:   45 10:25:59    -2420.821949        0.058467
BFGS:   46 10:26:00    -2420.822892        0.047032
BFGS:   47 10:26:00    -2420.823520        0.041242
BFGS:   48 10:26:00    -2420.823938        0.040808
BFGS:   49 10:26:01    -2420.824233        0.032841
BFGS:   50 10:26:01    -2420.824520        0.034902
